60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:02.0 (182975)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:02.0 (224376)|EXECUTION_STARTED
16:16:02.0 (234835)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:02.0 (1133385)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:02.0 (1257678)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:02.0 (1276168)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:02.0 (1292419)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:02.0 (1319579)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:02.0 (1347370)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:02.0 (1353230)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:02.0 (1356420)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:02.0 (1366110)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:02.0 (1387771)|STATEMENT_EXECUTE|[1]
16:16:02.0 (1413861)|STATEMENT_EXECUTE|[1]
16:16:02.0 (1468563)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:02.0 (1517384)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:02.0 (1531554)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:02.0 (1545394)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:02.0 (1559545)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:02.0 (1566395)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:02.0 (1578595)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:02.0 (1587205)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:02.0 (1592335)|STATEMENT_EXECUTE|[15]
16:16:02.0 (1601185)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:02.0 (1606196)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:02.0 (1653007)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:02.0 (1660927)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:16:02.0 (1761479)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x68dcd551"}|0x7f2676de
16:16:02.0 (1770429)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:16:02.0 (1963603)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pSh8AAAS","jobId":"707e200000pSo4aAAC"}|0x316715b1
16:16:02.0 (1973584)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:16:02.0 (2316761)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001biZ4SQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001biZ4SQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005m9NyAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005m9NyAAI"},"CreatedDate":"2025-09-26T05:45:40.000Z","Id":"801e2000007iicaAAA","RMD_ECC_Order_ID__c":"6691258429"}]|0xffd4f9f
16:16:02.0 (2344832)|HEAP_ALLOCATE|[17]|Bytes:5
16:16:02.0 (2351202)|STATEMENT_EXECUTE|[16]
16:16:02.0 (2353703)|STATEMENT_EXECUTE|[17]
16:16:02.0 (2357303)|HEAP_ALLOCATE|[17]|Bytes:18
16:16:02.0 (2429873)|HEAP_ALLOCATE|[17]|Bytes:1
16:16:02.0 (2450265)|HEAP_ALLOCATE|[17]|Bytes:19
16:16:02.0 (2478004)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:16:02.0 (2502885)|STATEMENT_EXECUTE|[18]
16:16:02.0 (2521906)|HEAP_ALLOCATE|[18]|Bytes:4
16:16:02.0 (2574277)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7f2676de
16:16:02.0 (2645669)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:02.0 (2704680)|HEAP_ALLOCATE|[19]|Bytes:40
16:16:02.0 (2718650)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:16:02.0 (2870383)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001biZ4SQAU","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001biZ4SQAU","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005m9NyAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005m9NyAAI"},"CreatedDate":"2025-09-26T05:45:40.000Z","Id":"801e2000007iicaAAA","RMD_ECC_Order_ID__c":"6691258429"}|0x717b7e66
16:16:02.0 (2881983)|STATEMENT_EXECUTE|[19]
16:16:02.0 (2884623)|STATEMENT_EXECUTE|[20]
16:16:02.0 (2917704)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:16:02.0 (2936475)|HEAP_ALLOCATE|[19]|Bytes:5
16:16:02.0 (2950636)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:16:02.0 (3006466)|STATEMENT_EXECUTE|[23]
16:16:02.0 (3010906)|HEAP_ALLOCATE|[23]|Bytes:13
16:16:02.0 (3040778)|HEAP_ALLOCATE|[23]|Bytes:1
16:16:02.0 (3055838)|HEAP_ALLOCATE|[23]|Bytes:14
16:16:02.0 (3067248)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:16:02.0 (3076848)|STATEMENT_EXECUTE|[24]
16:16:02.0 (3093839)|HEAP_ALLOCATE|[24]|Bytes:20
16:16:02.0 (3105319)|HEAP_ALLOCATE|[24]|Bytes:33
16:16:02.0 (3114219)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007iicaAAA}
16:16:02.0 (3133189)|STATEMENT_EXECUTE|[25]
16:16:02.0 (3135330)|STATEMENT_EXECUTE|[26]
16:16:02.0 (3151420)|HEAP_ALLOCATE|[26]|Bytes:122
16:16:02.0 (3156920)|HEAP_ALLOCATE|[26]|Bytes:24
16:16:02.0 (3160220)|HEAP_ALLOCATE|[26]|Bytes:187
16:16:02.0 (3169380)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:16:02.0 (3173989)|STATEMENT_EXECUTE|[1]
16:16:02.0 (3177430)|STATEMENT_EXECUTE|[1]
16:16:02.0 (3183441)|HEAP_ALLOCATE|[26]|Bytes:5
16:16:02.0 (3187881)|STATEMENT_EXECUTE|[998]
16:16:02.0 (3190411)|STATEMENT_EXECUTE|[1015]
16:16:02.0 (3192571)|STATEMENT_EXECUTE|[1036]
16:16:02.0 (3202150)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:16:02.0 (3213181)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:16:02.0 (3219661)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:16:02.0 (3233362)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007iicaAAA"]|0x3e5fb65d
16:16:02.0 (3243132)|HEAP_ALLOCATE|[59]|Bytes:5
16:16:02.0 (3248391)|STATEMENT_EXECUTE|[57]
16:16:02.0 (3250671)|STATEMENT_EXECUTE|[59]
16:16:02.0 (3254702)|HEAP_ALLOCATE|[59]|Bytes:27
16:16:02.0 (3299363)|HEAP_ALLOCATE|[59]|Bytes:96
16:16:02.0 (3305912)|HEAP_ALLOCATE|[59]|Bytes:69
16:16:02.0 (3372815)|HEAP_ALLOCATE|[59]|Bytes:33
16:16:02.0 (3381485)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:16:02.0 (3385695)|STATEMENT_EXECUTE|[1]
16:16:02.0 (3391685)|SYSTEM_METHOD_EXIT|[1]|Type
16:16:02.0 (3398085)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:02.0 (3414846)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:02.0 (3419426)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:16:02.0 (3439766)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4da0efe5
16:16:02.0 (3445216)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:16:02.0 (3527008)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x2e961978
16:16:02.0 (5567333)|HEAP_ALLOCATE|[59]|Bytes:8
16:16:02.0 (5602443)|HEAP_ALLOCATE|[59]|Bytes:24
16:16:02.0 (5613104)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:16:02.0 (5618473)|STATEMENT_EXECUTE|[1]
16:16:02.0 (5623894)|SYSTEM_METHOD_EXIT|[1]|JSON
16:16:02.0 (5635875)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:16:02.0 (6031423)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:16:02.0 (6042643)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:16:02.0 (6090274)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x242c9f9a
16:16:02.0 (6107005)|HEAP_ALLOCATE|[60]|Bytes:9
16:16:02.0 (6135965)|STATEMENT_EXECUTE|[60]
16:16:02.0 (6138705)|STATEMENT_EXECUTE|[67]
16:16:02.0 (6140835)|STATEMENT_EXECUTE|[67]
16:16:02.0 (6142945)|STATEMENT_EXECUTE|[68]
16:16:02.0 (6188016)|HEAP_ALLOCATE|[68]|Bytes:4
16:16:02.0 (6242848)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:16:02.0 (6261098)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x2a805d3e
16:16:02.0 (6268068)|STATEMENT_EXECUTE|[70]
16:16:02.0 (6284119)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:16:02.0 (6291999)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:16:02.0 (6299089)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:16:02.0 (6306839)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:16:02.0 (6314179)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:16:02.0 (6321249)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:16:02.0 (6334430)|HEAP_ALLOCATE|[70]|Bytes:150
16:16:02.0 (6341190)|HEAP_ALLOCATE|[70]|Bytes:51
16:16:02.0 (6347060)|HEAP_ALLOCATE|[70]|Bytes:13
16:16:02.0 (6360840)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:16:02.0 (6367830)|HEAP_ALLOCATE|[70]|Bytes:7
16:16:02.0 (6377151)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:16:02.0 (6407251)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:16:02.0 (6413911)|STATEMENT_EXECUTE|[6]
16:16:02.0 (6418121)|STATEMENT_EXECUTE|[6]
16:16:02.0 (7486055)|SYSTEM_MODE_ENTER|false
16:16:02.0 (7504776)|HEAP_ALLOCATE|[7]|Bytes:5
16:16:02.0 (7512165)|STATEMENT_EXECUTE|[7]
16:16:02.0 (7517205)|HEAP_ALLOCATE|[7]|Bytes:12
16:16:02.0 (7554666)|HEAP_ALLOCATE|[7]|Bytes:68
16:16:02.0 (7583557)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:16:02.0 (7591197)|STATEMENT_EXECUTE|[9]
16:16:02.0 (7599197)|HEAP_ALLOCATE|[9]|Bytes:5
16:16:02.0 (7613607)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:16:02.0 (7620727)|STATEMENT_EXECUTE|[12]
16:16:02.0 (7652448)|HEAP_ALLOCATE|[12]|Bytes:53
16:16:02.0 (7664288)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:16:02.0 (7668728)|STATEMENT_EXECUTE|[1]
