60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:22:26.0 (168754)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:22:26.0 (206275)|EXECUTION_STARTED
16:22:26.0 (221185)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:22:26.0 (743907)|HEAP_ALLOCATE|[95]|Bytes:3
16:22:26.0 (827069)|HEAP_ALLOCATE|[100]|Bytes:152
16:22:26.0 (845080)|HEAP_ALLOCATE|[417]|Bytes:408
16:22:26.0 (859900)|HEAP_ALLOCATE|[430]|Bytes:408
16:22:26.0 (887751)|HEAP_ALLOCATE|[317]|Bytes:6
16:22:26.0 (911851)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:22:26.0 (917121)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:22:26.0 (920421)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:22:26.0 (928752)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:22:26.0 (934702)|STATEMENT_EXECUTE|[1]
16:22:26.0 (940512)|STATEMENT_EXECUTE|[1]
16:22:26.0 (975133)|HEAP_ALLOCATE|[68]|Bytes:5
16:22:26.0 (1017684)|HEAP_ALLOCATE|[74]|Bytes:5
16:22:26.0 (1034854)|HEAP_ALLOCATE|[82]|Bytes:7
16:22:26.0 (1049115)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:22:26.0 (1063415)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:22:26.0 (1068485)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:26.0 (1078675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:22:26.0 (1084815)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:22:26.0 (1087885)|STATEMENT_EXECUTE|[15]
16:22:26.0 (1094776)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:22:26.0 (1098606)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:22:26.0 (1132386)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:22:26.0 (1137967)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:22:26.0 (1208678)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6592a038"}|0x110fe3d2
16:22:26.0 (1214048)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:22:26.0 (1353002)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x9aeede
16:22:26.0 (1359452)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:22:26.0 (1640188)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0012t000009GT7SAAW","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000009GT7SAAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005z4v3AAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005z4v3AAA"},"CreatedDate":"2025-09-29T05:59:45.000Z","Id":"801e2000007wZJ7AAM","RMD_ECC_Order_ID__c":"6691206569"}]|0x175cf9cd
16:22:26.0 (1672169)|HEAP_ALLOCATE|[17]|Bytes:5
16:22:26.0 (1680619)|STATEMENT_EXECUTE|[16]
16:22:26.0 (1684190)|STATEMENT_EXECUTE|[17]
16:22:26.0 (1690050)|HEAP_ALLOCATE|[17]|Bytes:18
16:22:26.0 (1754251)|HEAP_ALLOCATE|[17]|Bytes:1
16:22:26.0 (1779292)|HEAP_ALLOCATE|[17]|Bytes:19
16:22:26.0 (1806062)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:22:26.0 (1816313)|STATEMENT_EXECUTE|[18]
16:22:26.0 (1829443)|HEAP_ALLOCATE|[18]|Bytes:4
16:22:26.0 (1874034)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x110fe3d2
16:22:26.0 (1911945)|HEAP_ALLOCATE|[19]|Bytes:5
16:22:26.0 (1957286)|HEAP_ALLOCATE|[19]|Bytes:40
16:22:26.0 (1968746)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:22:26.0 (2099479)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0012t000009GT7SAAW","RMD_Sync_with_SAP__c":true},"AccountId":"0012t000009GT7SAAW","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005z4v3AAA","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005z4v3AAA"},"CreatedDate":"2025-09-29T05:59:45.000Z","Id":"801e2000007wZJ7AAM","RMD_ECC_Order_ID__c":"6691206569"}|0x5b9c6a72
16:22:26.0 (2109730)|STATEMENT_EXECUTE|[19]
16:22:26.0 (2112220)|STATEMENT_EXECUTE|[20]
16:22:26.0 (2143820)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:22:26.0 (2168271)|HEAP_ALLOCATE|[19]|Bytes:5
16:22:26.0 (2182051)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:22:26.0 (2186811)|STATEMENT_EXECUTE|[23]
16:22:26.0 (2189831)|HEAP_ALLOCATE|[23]|Bytes:13
16:22:26.0 (2213642)|HEAP_ALLOCATE|[23]|Bytes:1
16:22:26.0 (2225972)|HEAP_ALLOCATE|[23]|Bytes:14
16:22:26.0 (2236893)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:22:26.0 (2244553)|STATEMENT_EXECUTE|[24]
16:22:26.0 (2285354)|HEAP_ALLOCATE|[24]|Bytes:20
16:22:26.0 (2304244)|HEAP_ALLOCATE|[24]|Bytes:33
16:22:26.0 (2317214)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007wZJ7AAM}
16:22:26.0 (2337955)|STATEMENT_EXECUTE|[25]
16:22:26.0 (2341415)|STATEMENT_EXECUTE|[26]
16:22:26.0 (2355675)|HEAP_ALLOCATE|[26]|Bytes:122
16:22:26.0 (2362636)|HEAP_ALLOCATE|[26]|Bytes:24
16:22:26.0 (2367456)|HEAP_ALLOCATE|[26]|Bytes:187
16:22:26.0 (2378626)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:22:26.0 (2384546)|STATEMENT_EXECUTE|[1]
16:22:26.0 (2388166)|STATEMENT_EXECUTE|[1]
16:22:26.0 (2395406)|HEAP_ALLOCATE|[26]|Bytes:5
16:22:26.0 (2400006)|STATEMENT_EXECUTE|[998]
16:22:26.0 (2402316)|STATEMENT_EXECUTE|[1015]
16:22:26.0 (2404697)|STATEMENT_EXECUTE|[1036]
16:22:26.0 (2412187)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:22:26.0 (2420247)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:22:26.0 (2425697)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:22:26.0 (2441047)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007wZJ7AAM"]|0x77277d2a
16:22:26.0 (2449808)|HEAP_ALLOCATE|[59]|Bytes:5
16:22:26.0 (2455558)|STATEMENT_EXECUTE|[57]
16:22:26.0 (2457638)|STATEMENT_EXECUTE|[59]
16:22:26.0 (2461368)|HEAP_ALLOCATE|[59]|Bytes:27
16:22:26.0 (2496019)|HEAP_ALLOCATE|[59]|Bytes:96
16:22:26.0 (2501849)|HEAP_ALLOCATE|[59]|Bytes:69
16:22:26.0 (2564510)|HEAP_ALLOCATE|[59]|Bytes:33
16:22:26.0 (2572330)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:22:26.0 (2575471)|STATEMENT_EXECUTE|[1]
16:22:26.0 (2581701)|SYSTEM_METHOD_EXIT|[1]|Type
16:22:26.0 (2587661)|HEAP_ALLOCATE|[59]|Bytes:8
16:22:26.0 (2601321)|HEAP_ALLOCATE|[59]|Bytes:8
16:22:26.0 (2605551)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:22:26.0 (2625372)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x7c283f26
16:22:26.0 (2629812)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:22:26.0 (2701194)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
16:22:26.0 (4879345)|HEAP_ALLOCATE|[59]|Bytes:8
16:22:26.0 (4914116)|HEAP_ALLOCATE|[59]|Bytes:24
16:22:26.0 (4922186)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:22:26.0 (4926876)|STATEMENT_EXECUTE|[1]
16:22:26.0 (4932736)|SYSTEM_METHOD_EXIT|[1]|JSON
16:22:26.0 (4945546)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:22:26.0 (5293375)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:22:26.0 (5304625)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:22:26.0 (5338426)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x8ddeeb7
16:22:26.0 (5345156)|HEAP_ALLOCATE|[60]|Bytes:9
16:22:26.0 (5373577)|STATEMENT_EXECUTE|[60]
16:22:26.0 (5376197)|STATEMENT_EXECUTE|[67]
16:22:26.0 (5378307)|STATEMENT_EXECUTE|[67]
16:22:26.0 (5380657)|STATEMENT_EXECUTE|[68]
16:22:26.0 (5418058)|HEAP_ALLOCATE|[68]|Bytes:4
16:22:26.0 (5453468)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:22:26.0 (5468339)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x55a5ff6a
16:22:26.0 (5473059)|STATEMENT_EXECUTE|[70]
16:22:26.0 (5484479)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:22:26.0 (5489509)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:22:26.0 (5493809)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:22:26.0 (5499120)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:22:26.0 (5503640)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:22:26.0 (5508450)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:22:26.0 (5519510)|HEAP_ALLOCATE|[70]|Bytes:150
16:22:26.0 (5524390)|HEAP_ALLOCATE|[70]|Bytes:51
16:22:26.0 (5527890)|HEAP_ALLOCATE|[70]|Bytes:13
16:22:26.0 (5544691)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:22:26.0 (5550441)|HEAP_ALLOCATE|[70]|Bytes:7
16:22:26.0 (5558671)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:22:26.0 (5601012)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
