44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:43:45.0 (140953)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:43:45.0 (205915)|EXECUTION_STARTED
16:43:45.0 (219175)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:43:45.0 (2098770)|HEAP_ALLOCATE|[95]|Bytes:3
16:43:45.0 (2185502)|HEAP_ALLOCATE|[100]|Bytes:152
16:43:45.0 (2202653)|HEAP_ALLOCATE|[417]|Bytes:408
16:43:45.0 (2218743)|HEAP_ALLOCATE|[430]|Bytes:408
16:43:45.0 (2244934)|HEAP_ALLOCATE|[317]|Bytes:6
16:43:45.0 (2268334)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:43:45.0 (2274324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:43:45.0 (2277704)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:43:45.0 (2289065)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:43:45.0 (2294955)|STATEMENT_EXECUTE|[1]
16:43:45.0 (2300055)|STATEMENT_EXECUTE|[1]
16:43:45.0 (2328826)|HEAP_ALLOCATE|[68]|Bytes:5
16:43:45.0 (2353526)|HEAP_ALLOCATE|[74]|Bytes:5
16:43:45.0 (2362846)|HEAP_ALLOCATE|[82]|Bytes:7
16:43:45.0 (2372517)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:43:45.0 (2384167)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:43:45.0 (2389257)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:45.0 (2397827)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:43:45.0 (2403967)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:43:45.0 (2407148)|STATEMENT_EXECUTE|[15]
16:43:45.0 (2413158)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:43:45.0 (2417228)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:43:45.0 (2448839)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:43:45.0 (2455249)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:43:45.0 (2524200)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x303be7c2"}|0x4bf3bcc5
16:43:45.0 (2531041)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:43:45.0 (2686154)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:43:45.0 (2693204)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:43:45.0 (2866909)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:00:40.000Z","Account":{"Id":"001e200000PVaNOAA1","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVQSwAAP","AccountId":"001e200000PVaNOAA1"}]|0x3056bf94
16:43:45.0 (2885739)|HEAP_ALLOCATE|[20]|Bytes:5
16:43:45.0 (2891129)|STATEMENT_EXECUTE|[19]
16:43:45.0 (2893329)|STATEMENT_EXECUTE|[20]
16:43:45.0 (2897019)|HEAP_ALLOCATE|[20]|Bytes:18
16:43:45.0 (2952861)|HEAP_ALLOCATE|[20]|Bytes:1
16:43:45.0 (2969911)|HEAP_ALLOCATE|[20]|Bytes:19
16:43:45.0 (2995802)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:43:45.0 (3006782)|STATEMENT_EXECUTE|[21]
16:43:45.0 (3019752)|HEAP_ALLOCATE|[21]|Bytes:4
16:43:45.0 (3061333)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:43:45.0 (3096574)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:45.0 (3135305)|HEAP_ALLOCATE|[22]|Bytes:20
16:43:45.0 (3148305)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:43:45.0 (3217107)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:00:40.000Z","Account":{"Id":"001e200000PVaNOAA1","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVQSwAAP","AccountId":"001e200000PVaNOAA1"}|0x74c5632f
16:43:45.0 (3225537)|STATEMENT_EXECUTE|[22]
16:43:45.0 (3227787)|STATEMENT_EXECUTE|[23]
16:43:45.0 (3252498)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:43:45.0 (3267778)|HEAP_ALLOCATE|[22]|Bytes:5
16:43:45.0 (3281559)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:43:45.0 (3286959)|STATEMENT_EXECUTE|[26]
16:43:45.0 (3289669)|HEAP_ALLOCATE|[26]|Bytes:13
16:43:45.0 (3312579)|HEAP_ALLOCATE|[26]|Bytes:1
16:43:45.0 (3324910)|HEAP_ALLOCATE|[26]|Bytes:14
16:43:45.0 (3335110)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:43:45.0 (3342720)|STATEMENT_EXECUTE|[27]
16:43:45.0 (3357890)|HEAP_ALLOCATE|[27]|Bytes:20
16:43:45.0 (3368931)|HEAP_ALLOCATE|[27]|Bytes:33
16:43:45.0 (3376911)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVQSwAAP}
16:43:45.0 (3394611)|STATEMENT_EXECUTE|[28]
16:43:45.0 (3396831)|STATEMENT_EXECUTE|[29]
16:43:45.0 (3406722)|HEAP_ALLOCATE|[29]|Bytes:122
16:43:45.0 (3411742)|HEAP_ALLOCATE|[29]|Bytes:24
16:43:45.0 (3415402)|HEAP_ALLOCATE|[29]|Bytes:187
16:43:45.0 (3423182)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:43:45.0 (3427242)|STATEMENT_EXECUTE|[1]
16:43:45.0 (3430422)|STATEMENT_EXECUTE|[1]
16:43:45.0 (3435322)|HEAP_ALLOCATE|[29]|Bytes:5
16:43:45.0 (3439452)|STATEMENT_EXECUTE|[998]
16:43:45.0 (3442212)|STATEMENT_EXECUTE|[1015]
16:43:45.0 (3444283)|STATEMENT_EXECUTE|[1036]
16:43:45.0 (3450803)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:43:45.0 (3458043)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:43:45.0 (3463683)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:43:45.0 (3474833)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PVQSwAAP"]|0x25082f34
16:43:45.0 (3483133)|HEAP_ALLOCATE|[59]|Bytes:5
16:43:45.0 (3487984)|STATEMENT_EXECUTE|[57]
16:43:45.0 (3490164)|STATEMENT_EXECUTE|[59]
16:43:45.0 (3494054)|HEAP_ALLOCATE|[59]|Bytes:27
16:43:45.0 (3526265)|HEAP_ALLOCATE|[59]|Bytes:96
16:43:45.0 (3531945)|HEAP_ALLOCATE|[59]|Bytes:69
16:43:45.0 (3586556)|HEAP_ALLOCATE|[59]|Bytes:33
16:43:45.0 (3595716)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:43:45.0 (3599126)|STATEMENT_EXECUTE|[1]
16:43:45.0 (3604816)|SYSTEM_METHOD_EXIT|[1]|Type
16:43:45.0 (3610257)|HEAP_ALLOCATE|[59]|Bytes:8
16:43:45.0 (3624557)|HEAP_ALLOCATE|[59]|Bytes:8
