60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:18:55.0 (202405)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:18:55.0 (239097)|EXECUTION_STARTED
16:18:55.0 (254657)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:18:55.0 (734309)|HEAP_ALLOCATE|[95]|Bytes:3
16:18:55.0 (826992)|HEAP_ALLOCATE|[100]|Bytes:152
16:18:55.0 (851901)|HEAP_ALLOCATE|[417]|Bytes:408
16:18:55.0 (873033)|HEAP_ALLOCATE|[430]|Bytes:408
16:18:55.0 (906574)|HEAP_ALLOCATE|[317]|Bytes:6
16:18:55.0 (935983)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:18:55.0 (943695)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:18:55.0 (949285)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:18:55.0 (964245)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:18:55.0 (972264)|STATEMENT_EXECUTE|[1]
16:18:55.0 (980104)|STATEMENT_EXECUTE|[1]
16:18:55.0 (1009276)|HEAP_ALLOCATE|[68]|Bytes:5
16:18:55.0 (1036946)|HEAP_ALLOCATE|[74]|Bytes:5
16:18:55.0 (1048397)|HEAP_ALLOCATE|[82]|Bytes:7
16:18:55.0 (1061327)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:18:55.0 (1072608)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:18:55.0 (1079008)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:18:55.0 (1092058)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:18:55.0 (1101238)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:18:55.0 (1106228)|STATEMENT_EXECUTE|[15]
16:18:55.0 (1114519)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:18:55.0 (1120169)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:18:55.0 (1157250)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:18:55.0 (1167140)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:18:55.0 (1244511)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x42b08fb0"}|0x7175f86f
16:18:55.0 (1252471)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:18:55.0 (1394326)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x20063df3
16:18:55.0 (1403086)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:18:55.0 (1723534)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"001Ie000002RhsiIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RhsiIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mwZuAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mwZuAAI"},"CreatedDate":"2025-09-26T07:01:57.000Z","Id":"801e2000007jeTZAAY","RMD_ECC_Order_ID__c":"6691196733"}]|0x7e30cbb0
16:18:55.0 (1745564)|HEAP_ALLOCATE|[17]|Bytes:5
16:18:55.0 (1751764)|STATEMENT_EXECUTE|[16]
16:18:55.0 (1754524)|STATEMENT_EXECUTE|[17]
16:18:55.0 (1758284)|HEAP_ALLOCATE|[17]|Bytes:18
16:18:55.0 (1819026)|HEAP_ALLOCATE|[17]|Bytes:1
16:18:55.0 (1836606)|HEAP_ALLOCATE|[17]|Bytes:19
16:18:55.0 (1860566)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:18:55.0 (1870578)|STATEMENT_EXECUTE|[18]
16:18:55.0 (1889348)|HEAP_ALLOCATE|[18]|Bytes:4
16:18:55.0 (1938239)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7175f86f
16:18:55.0 (1976580)|HEAP_ALLOCATE|[19]|Bytes:5
16:18:55.0 (2016301)|HEAP_ALLOCATE|[19]|Bytes:40
16:18:55.0 (2030851)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:18:55.0 (2150054)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"001Ie000002RhsiIAC","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002RhsiIAC","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mwZuAAI","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mwZuAAI"},"CreatedDate":"2025-09-26T07:01:57.000Z","Id":"801e2000007jeTZAAY","RMD_ECC_Order_ID__c":"6691196733"}|0x5356b5df
16:18:55.0 (2159075)|STATEMENT_EXECUTE|[19]
16:18:55.0 (2161315)|STATEMENT_EXECUTE|[20]
16:18:55.0 (2190396)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:18:55.0 (2209236)|HEAP_ALLOCATE|[19]|Bytes:5
16:18:55.0 (2225166)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:18:55.0 (2231207)|STATEMENT_EXECUTE|[23]
16:18:55.0 (2234567)|HEAP_ALLOCATE|[23]|Bytes:13
16:18:55.0 (2260747)|HEAP_ALLOCATE|[23]|Bytes:1
16:18:55.0 (2274188)|HEAP_ALLOCATE|[23]|Bytes:14
16:18:55.0 (2285377)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:18:55.0 (2294428)|STATEMENT_EXECUTE|[24]
16:18:55.0 (2311949)|HEAP_ALLOCATE|[24]|Bytes:20
16:18:55.0 (2324578)|HEAP_ALLOCATE|[24]|Bytes:33
16:18:55.0 (2334178)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007jeTZAAY}
16:18:55.0 (2353859)|STATEMENT_EXECUTE|[25]
16:18:55.0 (2356410)|STATEMENT_EXECUTE|[26]
16:18:55.0 (2369270)|HEAP_ALLOCATE|[26]|Bytes:122
16:18:55.0 (2375040)|HEAP_ALLOCATE|[26]|Bytes:24
16:18:55.0 (2379240)|HEAP_ALLOCATE|[26]|Bytes:187
16:18:55.0 (2388740)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:18:55.0 (2393860)|STATEMENT_EXECUTE|[1]
16:18:55.0 (2398531)|STATEMENT_EXECUTE|[1]
16:18:55.0 (2404451)|HEAP_ALLOCATE|[26]|Bytes:5
16:18:55.0 (2409201)|STATEMENT_EXECUTE|[998]
16:18:55.0 (2411900)|STATEMENT_EXECUTE|[1015]
16:18:55.0 (2414580)|STATEMENT_EXECUTE|[1036]
16:18:55.0 (2422231)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:18:55.0 (2431392)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:18:55.0 (2438061)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:18:55.0 (2451052)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007jeTZAAY"]|0x26a28902
16:18:55.0 (2461381)|HEAP_ALLOCATE|[59]|Bytes:5
16:18:55.0 (2467221)|STATEMENT_EXECUTE|[57]
16:18:55.0 (2469822)|STATEMENT_EXECUTE|[59]
16:18:55.0 (2473573)|HEAP_ALLOCATE|[59]|Bytes:27
16:18:55.0 (2510434)|HEAP_ALLOCATE|[59]|Bytes:96
16:18:55.0 (2517364)|HEAP_ALLOCATE|[59]|Bytes:69
16:18:55.0 (2586955)|HEAP_ALLOCATE|[59]|Bytes:33
16:18:55.0 (2597046)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:18:55.0 (2601416)|STATEMENT_EXECUTE|[1]
16:18:55.0 (2607676)|SYSTEM_METHOD_EXIT|[1]|Type
16:18:55.0 (2614816)|HEAP_ALLOCATE|[59]|Bytes:8
16:18:55.0 (2630697)|HEAP_ALLOCATE|[59]|Bytes:8
16:18:55.0 (2635647)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:18:55.0 (2658617)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x503125d7
16:18:55.0 (2664597)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:18:55.0 (2733079)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x22b7ce30
16:18:55.0 (4041792)|HEAP_ALLOCATE|[59]|Bytes:8
16:18:55.0 (4067612)|HEAP_ALLOCATE|[59]|Bytes:24
16:18:55.0 (4076003)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:18:55.0 (4080262)|STATEMENT_EXECUTE|[1]
16:18:55.0 (4086053)|SYSTEM_METHOD_EXIT|[1]|JSON
16:18:55.0 (4097513)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:18:55.0 (4636287)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:18:55.0 (4652396)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:18:55.0 (4697248)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x477ef0d
16:18:55.0 (4708069)|HEAP_ALLOCATE|[60]|Bytes:9
16:18:55.0 (4746289)|STATEMENT_EXECUTE|[60]
16:18:55.0 (4750239)|STATEMENT_EXECUTE|[67]
16:18:55.0 (4753599)|STATEMENT_EXECUTE|[67]
16:18:55.0 (4757050)|STATEMENT_EXECUTE|[68]
16:18:55.0 (4814040)|HEAP_ALLOCATE|[68]|Bytes:4
16:18:55.0 (4863022)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:18:55.0 (4884082)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0xcea2c6d
16:18:55.0 (4892722)|STATEMENT_EXECUTE|[70]
16:18:55.0 (4909994)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:18:55.0 (4920483)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:18:55.0 (4929054)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:18:55.0 (4938024)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:18:55.0 (4947134)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:18:55.0 (4956955)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:18:55.0 (4972025)|HEAP_ALLOCATE|[70]|Bytes:150
16:18:55.0 (4981265)|HEAP_ALLOCATE|[70]|Bytes:51
16:18:55.0 (4988365)|HEAP_ALLOCATE|[70]|Bytes:13
16:18:55.0 (5012325)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:18:55.0 (5022765)|HEAP_ALLOCATE|[70]|Bytes:7
16:18:55.0 (5036227)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:18:55.0 (5070618)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:18:55.0 (5079268)|STATEMENT_EXECUTE|[6]
16:18:55.0 (5085668)|STATEMENT_EXECUTE|[6]
16:18:55.0 (5812556)|SYSTEM_MODE_ENTER|false
16:18:55.0 (5828177)|HEAP_ALLOCATE|[7]|Bytes:5
16:18:55.0 (5837426)|STATEMENT_EXECUTE|[7]
16:18:55.0 (5843026)|HEAP_ALLOCATE|[7]|Bytes:12
