60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:42:44.0 (163413)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
15:42:44.0 (226854)|EXECUTION_STARTED
15:42:44.0 (240285)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
15:42:44.0 (989020)|HEAP_ALLOCATE|[95]|Bytes:3
15:42:44.0 (1075282)|HEAP_ALLOCATE|[100]|Bytes:152
15:42:44.0 (1094113)|HEAP_ALLOCATE|[417]|Bytes:408
15:42:44.0 (1108313)|HEAP_ALLOCATE|[430]|Bytes:408
15:42:44.0 (1133513)|HEAP_ALLOCATE|[317]|Bytes:6
15:42:44.0 (1156474)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
15:42:44.0 (1161064)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
15:42:44.0 (1164324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
15:42:44.0 (1176894)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
15:42:44.0 (1183094)|STATEMENT_EXECUTE|[1]
15:42:44.0 (1189274)|STATEMENT_EXECUTE|[1]
15:42:44.0 (1219335)|HEAP_ALLOCATE|[68]|Bytes:5
15:42:44.0 (1242316)|HEAP_ALLOCATE|[74]|Bytes:5
15:42:44.0 (1250866)|HEAP_ALLOCATE|[82]|Bytes:7
15:42:44.0 (1261486)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
15:42:44.0 (1309747)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
15:42:44.0 (1316527)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:44.0 (1326367)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
15:42:44.0 (1333897)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
15:42:44.0 (1337377)|STATEMENT_EXECUTE|[15]
15:42:44.0 (1344148)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
15:42:44.0 (1348128)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
15:42:44.0 (1378638)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:42:44.0 (1384648)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
15:42:44.0 (1449940)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x41bd893f"}|0x525b6e68
15:42:44.0 (1455670)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
15:42:44.0 (1581672)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x6a726c4d
15:42:44.0 (1587652)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
15:42:44.0 (2153334)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955BUIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955BUIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCLUIA2","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCLUIA2"},"CreatedDate":"2025-05-26T10:37:19.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx8VIAS","RMD_ECC_Order_ID__c":"Akhil1858"}]|0xdf11ff
15:42:44.0 (2179844)|HEAP_ALLOCATE|[17]|Bytes:5
15:42:44.0 (2185874)|STATEMENT_EXECUTE|[16]
15:42:44.0 (2188294)|STATEMENT_EXECUTE|[17]
15:42:44.0 (2191524)|HEAP_ALLOCATE|[17]|Bytes:18
15:42:44.0 (2244735)|HEAP_ALLOCATE|[17]|Bytes:1
15:42:44.0 (2260886)|HEAP_ALLOCATE|[17]|Bytes:19
15:42:44.0 (2286246)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
15:42:44.0 (2296477)|STATEMENT_EXECUTE|[18]
15:42:44.0 (2311188)|HEAP_ALLOCATE|[18]|Bytes:4
15:42:44.0 (2356818)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x525b6e68
15:42:44.0 (2392509)|HEAP_ALLOCATE|[19]|Bytes:5
15:42:44.0 (2433259)|HEAP_ALLOCATE|[19]|Bytes:44
15:42:44.0 (2444899)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
15:42:44.0 (2585073)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie00000955BUIAY","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955BUIAY","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCLUIA2","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCLUIA2"},"CreatedDate":"2025-05-26T10:37:19.000Z","Coupon_Type__c":"P","Id":"801Ie000001Jx8VIAS","RMD_ECC_Order_ID__c":"Akhil1858"}|0x7a53a380
15:42:44.0 (2595262)|STATEMENT_EXECUTE|[19]
15:42:44.0 (2597543)|STATEMENT_EXECUTE|[20]
15:42:44.0 (2625754)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
15:42:44.0 (2644103)|HEAP_ALLOCATE|[19]|Bytes:5
15:42:44.0 (2658955)|VARIABLE_ASSIGNMENT|[19]|obj|null|
15:42:44.0 (2664235)|STATEMENT_EXECUTE|[23]
15:42:44.0 (2667405)|HEAP_ALLOCATE|[23]|Bytes:13
15:42:44.0 (2691174)|HEAP_ALLOCATE|[23]|Bytes:1
15:42:44.0 (2703166)|HEAP_ALLOCATE|[23]|Bytes:14
15:42:44.0 (2716556)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
15:42:44.0 (2725286)|STATEMENT_EXECUTE|[24]
15:42:44.0 (2741006)|HEAP_ALLOCATE|[24]|Bytes:20
15:42:44.0 (2751837)|HEAP_ALLOCATE|[24]|Bytes:33
15:42:44.0 (2761117)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001Jx8VIAS}
15:42:44.0 (2779327)|STATEMENT_EXECUTE|[25]
15:42:44.0 (2781727)|STATEMENT_EXECUTE|[26]
15:42:44.0 (2793287)|HEAP_ALLOCATE|[26]|Bytes:122
15:42:44.0 (2799017)|HEAP_ALLOCATE|[26]|Bytes:24
15:42:44.0 (2802198)|HEAP_ALLOCATE|[26]|Bytes:187
15:42:44.0 (2812048)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
15:42:44.0 (2816038)|STATEMENT_EXECUTE|[1]
15:42:44.0 (2819278)|STATEMENT_EXECUTE|[1]
15:42:44.0 (2825128)|HEAP_ALLOCATE|[26]|Bytes:5
15:42:44.0 (2829297)|STATEMENT_EXECUTE|[998]
15:42:44.0 (2831728)|STATEMENT_EXECUTE|[1015]
15:42:44.0 (2833787)|STATEMENT_EXECUTE|[1036]
15:42:44.0 (2841928)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
15:42:44.0 (2850169)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
15:42:44.0 (2855468)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
15:42:44.0 (2867649)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001Jx8VIAS"]|0x1313dc04
15:42:44.0 (2877028)|HEAP_ALLOCATE|[59]|Bytes:5
