44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:41:57.0 (221765)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:41:57.0 (300587)|EXECUTION_STARTED
16:41:57.0 (319447)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:41:57.0 (1575707)|HEAP_ALLOCATE|[95]|Bytes:3
16:41:57.0 (1699880)|HEAP_ALLOCATE|[100]|Bytes:152
16:41:57.0 (1726551)|HEAP_ALLOCATE|[417]|Bytes:408
16:41:57.0 (1746431)|HEAP_ALLOCATE|[430]|Bytes:408
16:41:57.0 (1783112)|HEAP_ALLOCATE|[317]|Bytes:6
16:41:57.0 (1815823)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:41:57.0 (1823993)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:41:57.0 (1829483)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:41:57.0 (1845214)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:41:57.0 (1855314)|STATEMENT_EXECUTE|[1]
16:41:57.0 (1862634)|STATEMENT_EXECUTE|[1]
16:41:57.0 (1903965)|HEAP_ALLOCATE|[68]|Bytes:5
16:41:57.0 (1939666)|HEAP_ALLOCATE|[74]|Bytes:5
16:41:57.0 (1954136)|HEAP_ALLOCATE|[82]|Bytes:7
16:41:57.0 (1968397)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:41:57.0 (1984637)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:41:57.0 (1992427)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:57.0 (2004508)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:41:57.0 (2013498)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:41:57.0 (2018668)|STATEMENT_EXECUTE|[15]
16:41:57.0 (2027848)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:41:57.0 (2033618)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:41:57.0 (2079789)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:41:57.0 (2090220)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:41:57.0 (2176742)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x30248998"}|0x4bf3bcc5
16:41:57.0 (2184762)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:41:57.0 (2384117)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:41:57.0 (2393277)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:41:57.0 (2973731)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:25:03.000Z","Account":{"Id":"001Ie000002Rh7HIAS","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVoesAAD","AccountId":"001Ie000002Rh7HIAS"}]|0x51375d58
16:41:57.0 (3001622)|HEAP_ALLOCATE|[20]|Bytes:5
16:41:57.0 (3009552)|STATEMENT_EXECUTE|[19]
16:41:57.0 (3012512)|STATEMENT_EXECUTE|[20]
16:41:57.0 (3016642)|HEAP_ALLOCATE|[20]|Bytes:18
16:41:57.0 (3082803)|HEAP_ALLOCATE|[20]|Bytes:1
16:41:57.0 (3103544)|HEAP_ALLOCATE|[20]|Bytes:19
16:41:57.0 (3134435)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:41:57.0 (3147315)|STATEMENT_EXECUTE|[21]
16:41:57.0 (3167625)|HEAP_ALLOCATE|[21]|Bytes:4
16:41:57.0 (3223967)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:41:57.0 (3264638)|HEAP_ALLOCATE|[22]|Bytes:5
16:41:57.0 (3312879)|HEAP_ALLOCATE|[22]|Bytes:20
16:41:57.0 (3327279)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:41:57.0 (3416131)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:25:03.000Z","Account":{"Id":"001Ie000002Rh7HIAS","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVoesAAD","AccountId":"001Ie000002Rh7HIAS"}|0x681486fa
16:41:57.0 (3426022)|STATEMENT_EXECUTE|[22]
16:41:57.0 (3428702)|STATEMENT_EXECUTE|[23]
16:41:57.0 (3459132)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:41:57.0 (3477693)|HEAP_ALLOCATE|[22]|Bytes:5
16:41:57.0 (3492813)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:41:57.0 (3499363)|STATEMENT_EXECUTE|[26]
16:41:57.0 (3502694)|HEAP_ALLOCATE|[26]|Bytes:13
16:41:57.0 (3528004)|HEAP_ALLOCATE|[26]|Bytes:1
16:41:57.0 (3542034)|HEAP_ALLOCATE|[26]|Bytes:14
16:41:57.0 (3553885)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:41:57.0 (3563375)|STATEMENT_EXECUTE|[27]
16:41:57.0 (3580995)|HEAP_ALLOCATE|[27]|Bytes:20
16:41:57.0 (3593836)|HEAP_ALLOCATE|[27]|Bytes:33
16:41:57.0 (3603866)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PVoesAAD}
16:41:57.0 (3623946)|STATEMENT_EXECUTE|[28]
16:41:57.0 (3627006)|STATEMENT_EXECUTE|[29]
16:41:57.0 (3639467)|HEAP_ALLOCATE|[29]|Bytes:122
16:41:57.0 (3645977)|HEAP_ALLOCATE|[29]|Bytes:24
16:41:57.0 (3650627)|HEAP_ALLOCATE|[29]|Bytes:187
16:41:57.0 (3660687)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:41:57.0 (3666267)|STATEMENT_EXECUTE|[1]
16:41:57.0 (3670218)|STATEMENT_EXECUTE|[1]
16:41:57.0 (3676078)|HEAP_ALLOCATE|[29]|Bytes:5
16:41:57.0 (3681578)|STATEMENT_EXECUTE|[998]
16:41:57.0 (3684798)|STATEMENT_EXECUTE|[1015]
16:41:57.0 (3687508)|STATEMENT_EXECUTE|[1036]
16:41:57.0 (3696818)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:41:57.0 (3706328)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:41:57.0 (3713499)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:41:57.0 (3726979)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PVoesAAD"]|0x5939f8a9
16:41:57.0 (3737409)|HEAP_ALLOCATE|[59]|Bytes:5
16:41:57.0 (3743299)|STATEMENT_EXECUTE|[57]
16:41:57.0 (3745959)|STATEMENT_EXECUTE|[59]
16:41:57.0 (3750259)|HEAP_ALLOCATE|[59]|Bytes:27
