60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:35:41.0 (277607)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:35:41.0 (333278)|EXECUTION_STARTED
17:35:41.0 (344089)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:35:41.0 (1651350)|HEAP_ALLOCATE|[95]|Bytes:3
17:35:41.0 (1748043)|HEAP_ALLOCATE|[100]|Bytes:152
17:35:41.0 (1772633)|HEAP_ALLOCATE|[417]|Bytes:408
17:35:41.0 (1795274)|HEAP_ALLOCATE|[430]|Bytes:408
17:35:41.0 (1832955)|HEAP_ALLOCATE|[317]|Bytes:6
17:35:41.0 (1862895)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:35:41.0 (1868885)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:35:41.0 (1872187)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:35:41.0 (1882036)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:35:41.0 (1887856)|STATEMENT_EXECUTE|[1]
17:35:41.0 (1893747)|STATEMENT_EXECUTE|[1]
17:35:41.0 (1922617)|HEAP_ALLOCATE|[68]|Bytes:5
17:35:41.0 (1952957)|HEAP_ALLOCATE|[74]|Bytes:5
17:35:41.0 (1961958)|HEAP_ALLOCATE|[82]|Bytes:7
17:35:41.0 (1971408)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:35:41.0 (1985978)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:35:41.0 (1992558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:41.0 (2001390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:35:41.0 (2007619)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:35:41.0 (2011139)|STATEMENT_EXECUTE|[15]
17:35:41.0 (2017219)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:35:41.0 (2021009)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:35:41.0 (2051300)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:35:41.0 (2057080)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:35:41.0 (2126402)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x4e7140cd"}|0xbef81e1
17:35:41.0 (2131782)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:35:41.0 (2290646)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x1c3f0620
17:35:41.0 (2296397)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:35:41.0 (2799508)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie00000955O4IAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955O4IAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCagIAE","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCagIAE"},"CreatedDate":"2025-05-27T04:52:45.000Z","Coupon_Type__c":"P","Id":"801Ie000001JxUgIAK","RMD_ECC_Order_ID__c":"Akhil1869"}]|0x1c484fed
17:35:41.0 (2828119)|HEAP_ALLOCATE|[17]|Bytes:5
17:35:41.0 (2835679)|STATEMENT_EXECUTE|[16]
17:35:41.0 (2839179)|STATEMENT_EXECUTE|[17]
17:35:41.0 (2949412)|HEAP_ALLOCATE|[17]|Bytes:18
17:35:41.0 (3022513)|HEAP_ALLOCATE|[17]|Bytes:1
17:35:41.0 (3044175)|HEAP_ALLOCATE|[17]|Bytes:19
17:35:41.0 (3079005)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:35:41.0 (3109625)|STATEMENT_EXECUTE|[18]
17:35:41.0 (3130366)|HEAP_ALLOCATE|[18]|Bytes:4
17:35:41.0 (3195197)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0xbef81e1
17:35:41.0 (3238438)|HEAP_ALLOCATE|[19]|Bytes:5
17:35:41.0 (3282981)|HEAP_ALLOCATE|[19]|Bytes:44
17:35:41.0 (3296930)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:35:41.0 (3437464)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie00000955O4IAI","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie00000955O4IAI","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003eCagIAE","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003eCagIAE"},"CreatedDate":"2025-05-27T04:52:45.000Z","Coupon_Type__c":"P","Id":"801Ie000001JxUgIAK","RMD_ECC_Order_ID__c":"Akhil1869"}|0x4ad1b28c
17:35:41.0 (3452305)|STATEMENT_EXECUTE|[19]
17:35:41.0 (3455474)|STATEMENT_EXECUTE|[20]
17:35:41.0 (3491685)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:35:41.0 (3516986)|HEAP_ALLOCATE|[19]|Bytes:5
17:35:41.0 (3535876)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:35:41.0 (3544766)|STATEMENT_EXECUTE|[23]
17:35:41.0 (3549067)|HEAP_ALLOCATE|[23]|Bytes:13
17:35:41.0 (3580657)|HEAP_ALLOCATE|[23]|Bytes:1
17:35:41.0 (3598337)|HEAP_ALLOCATE|[23]|Bytes:14
17:35:41.0 (3609407)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:35:41.0 (3617218)|STATEMENT_EXECUTE|[24]
17:35:41.0 (3640288)|HEAP_ALLOCATE|[24]|Bytes:20
17:35:41.0 (3657649)|HEAP_ALLOCATE|[24]|Bytes:33
17:35:41.0 (3670199)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001JxUgIAK}
17:35:41.0 (3691209)|STATEMENT_EXECUTE|[25]
17:35:41.0 (3693359)|STATEMENT_EXECUTE|[26]
17:35:41.0 (3705480)|HEAP_ALLOCATE|[26]|Bytes:122
17:35:41.0 (3710780)|HEAP_ALLOCATE|[26]|Bytes:24
17:35:41.0 (3714100)|HEAP_ALLOCATE|[26]|Bytes:187
17:35:41.0 (3722751)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:35:41.0 (3726700)|STATEMENT_EXECUTE|[1]
17:35:41.0 (3730090)|STATEMENT_EXECUTE|[1]
17:35:41.0 (3735431)|HEAP_ALLOCATE|[26]|Bytes:5
17:35:41.0 (3739681)|STATEMENT_EXECUTE|[998]
17:35:41.0 (3742152)|STATEMENT_EXECUTE|[1015]
17:35:41.0 (3744341)|STATEMENT_EXECUTE|[1036]
17:35:41.0 (3772872)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:35:41.0 (3781862)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:35:41.0 (3787642)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:35:41.0 (3805942)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001JxUgIAK"]|0x39abb47e
17:35:41.0 (3819042)|HEAP_ALLOCATE|[59]|Bytes:5
17:35:41.0 (3825674)|STATEMENT_EXECUTE|[57]
17:35:41.0 (3828533)|STATEMENT_EXECUTE|[59]
17:35:41.0 (3833003)|HEAP_ALLOCATE|[59]|Bytes:27
17:35:41.0 (3876334)|HEAP_ALLOCATE|[59]|Bytes:96
17:35:41.0 (3884235)|HEAP_ALLOCATE|[59]|Bytes:69
17:35:41.0 (3956406)|HEAP_ALLOCATE|[59]|Bytes:33
17:35:41.0 (3966776)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:35:41.0 (3971717)|STATEMENT_EXECUTE|[1]
17:35:41.0 (3979046)|SYSTEM_METHOD_EXIT|[1]|Type
17:35:41.0 (3988026)|HEAP_ALLOCATE|[59]|Bytes:8
17:35:41.0 (4003127)|HEAP_ALLOCATE|[59]|Bytes:8
17:35:41.0 (4008438)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:35:41.0 (4029027)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x4f689170
17:35:41.0 (4033908)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:35:41.0 (4108480)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:35:41.0 (6511178)|HEAP_ALLOCATE|[59]|Bytes:8
17:35:41.0 (6540318)|HEAP_ALLOCATE|[59]|Bytes:24
17:35:41.0 (6548739)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:35:41.0 (6554099)|STATEMENT_EXECUTE|[1]
17:35:41.0 (6559579)|SYSTEM_METHOD_EXIT|[1]|JSON
17:35:41.0 (6570199)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:35:41.0 (6908807)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:35:41.0 (6918817)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:35:41.0 (6954269)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x718611ad
17:35:41.0 (6961149)|HEAP_ALLOCATE|[60]|Bytes:9
17:35:41.0 (6985270)|STATEMENT_EXECUTE|[60]
17:35:41.0 (6988070)|STATEMENT_EXECUTE|[67]
17:35:41.0 (6990219)|STATEMENT_EXECUTE|[67]
17:35:41.0 (6992230)|STATEMENT_EXECUTE|[68]
17:35:41.0 (7029330)|HEAP_ALLOCATE|[68]|Bytes:4
17:35:41.0 (7065992)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:35:41.0 (7079121)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x7a6efdfc
17:35:41.0 (7100561)|STATEMENT_EXECUTE|[70]
17:35:41.0 (7113193)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:35:41.0 (7118612)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:35:41.0 (7123142)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:35:41.0 (7129302)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:35:41.0 (7134602)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:35:41.0 (7139473)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
