60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:08:06.0 (243736)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:08:06.0 (313088)|EXECUTION_STARTED
17:08:06.0 (331218)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:08:06.0 (1656180)|HEAP_ALLOCATE|[95]|Bytes:3
17:08:06.0 (1806773)|HEAP_ALLOCATE|[100]|Bytes:152
17:08:06.0 (1834524)|HEAP_ALLOCATE|[417]|Bytes:408
17:08:06.0 (1857714)|HEAP_ALLOCATE|[430]|Bytes:408
17:08:06.0 (1901186)|HEAP_ALLOCATE|[317]|Bytes:6
17:08:06.0 (1929355)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:08:06.0 (1937547)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:08:06.0 (1942497)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:08:06.0 (1956236)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:08:06.0 (1964527)|STATEMENT_EXECUTE|[1]
17:08:06.0 (1972047)|STATEMENT_EXECUTE|[1]
17:08:06.0 (2012458)|HEAP_ALLOCATE|[68]|Bytes:5
17:08:06.0 (2045589)|HEAP_ALLOCATE|[74]|Bytes:5
17:08:06.0 (2056038)|HEAP_ALLOCATE|[82]|Bytes:7
17:08:06.0 (2069150)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:08:06.0 (2084239)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:08:06.0 (2091390)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:06.0 (2102181)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:08:06.0 (2110511)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:08:06.0 (2115071)|STATEMENT_EXECUTE|[15]
17:08:06.0 (2123781)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:08:06.0 (2128741)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:08:06.0 (2174352)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:08:06.0 (2182772)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:08:06.0 (2268164)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x558721b5"}|0x726104f7
17:08:06.0 (2276355)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:08:06.0 (2453639)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000ogH0DAAU","jobId":"707e200000ofLt8AAE"}|0x73396b42
17:08:06.0 (2558281)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:08:06.0 (3216977)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002QuJOIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002QuJOIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003GNabIAG","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003GNabIAG"},"CreatedDate":"2025-01-11T10:47:25.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrE9IAK","RMD_ECC_Order_ID__c":"Akhil1627"}]|0x4d91857a
17:08:06.0 (3247638)|HEAP_ALLOCATE|[17]|Bytes:5
17:08:06.0 (3254707)|STATEMENT_EXECUTE|[16]
17:08:06.0 (3257798)|STATEMENT_EXECUTE|[17]
17:08:06.0 (3262368)|HEAP_ALLOCATE|[17]|Bytes:18
17:08:06.0 (3331440)|HEAP_ALLOCATE|[17]|Bytes:1
17:08:06.0 (3354430)|HEAP_ALLOCATE|[17]|Bytes:19
17:08:06.0 (3384750)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:08:06.0 (3397902)|STATEMENT_EXECUTE|[18]
17:08:06.0 (3414702)|HEAP_ALLOCATE|[18]|Bytes:4
17:08:06.0 (3473064)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x726104f7
17:08:06.0 (3515255)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:06.0 (3563766)|HEAP_ALLOCATE|[19]|Bytes:44
17:08:06.0 (3580146)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:08:06.0 (3745380)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002QuJOIA0","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002QuJOIA0","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006Ie000003GNabIAG","Opportunity":{"StageName":"Approved/ Order Crea (3 more) ...","Id":"006Ie000003GNabIAG"},"CreatedDate":"2025-01-11T10:47:25.000Z","Coupon_Type__c":"P","Id":"801Ie000001HrE9IAK","RMD_ECC_Order_ID__c":"Akhil1627"}|0xc35e1e9
17:08:06.0 (3760239)|STATEMENT_EXECUTE|[19]
17:08:06.0 (3762910)|STATEMENT_EXECUTE|[20]
17:08:06.0 (3798951)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:08:06.0 (3822932)|HEAP_ALLOCATE|[19]|Bytes:5
17:08:06.0 (3840521)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:08:06.0 (3848013)|STATEMENT_EXECUTE|[23]
17:08:06.0 (3851913)|HEAP_ALLOCATE|[23]|Bytes:13
17:08:06.0 (3881333)|HEAP_ALLOCATE|[23]|Bytes:1
17:08:06.0 (3897054)|HEAP_ALLOCATE|[23]|Bytes:14
17:08:06.0 (3917584)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:08:06.0 (3928264)|STATEMENT_EXECUTE|[24]
17:08:06.0 (3947535)|HEAP_ALLOCATE|[24]|Bytes:20
17:08:06.0 (3960955)|HEAP_ALLOCATE|[24]|Bytes:33
17:08:06.0 (3971256)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801Ie000001HrE9IAK}
17:08:06.0 (3992556)|STATEMENT_EXECUTE|[25]
17:08:06.0 (3995416)|STATEMENT_EXECUTE|[26]
17:08:06.0 (4009965)|HEAP_ALLOCATE|[26]|Bytes:122
17:08:06.0 (4017197)|HEAP_ALLOCATE|[26]|Bytes:24
17:08:06.0 (4022147)|HEAP_ALLOCATE|[26]|Bytes:187
17:08:06.0 (4040046)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:08:06.0 (4045846)|STATEMENT_EXECUTE|[1]
17:08:06.0 (4050457)|STATEMENT_EXECUTE|[1]
17:08:06.0 (4057748)|HEAP_ALLOCATE|[26]|Bytes:5
17:08:06.0 (4063778)|STATEMENT_EXECUTE|[998]
17:08:06.0 (4067007)|STATEMENT_EXECUTE|[1015]
17:08:06.0 (4069998)|STATEMENT_EXECUTE|[1036]
17:08:06.0 (4103679)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:08:06.0 (4115879)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:08:06.0 (4124008)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:08:06.0 (4140920)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801Ie000001HrE9IAK"]|0x174473ae
17:08:06.0 (4153449)|HEAP_ALLOCATE|[59]|Bytes:5
17:08:06.0 (4160470)|STATEMENT_EXECUTE|[57]
17:08:06.0 (4163609)|STATEMENT_EXECUTE|[59]
17:08:06.0 (4168529)|HEAP_ALLOCATE|[59]|Bytes:27
17:08:06.0 (4212631)|HEAP_ALLOCATE|[59]|Bytes:96
17:08:06.0 (4221331)|HEAP_ALLOCATE|[59]|Bytes:69
17:08:06.0 (4299103)|HEAP_ALLOCATE|[59]|Bytes:33
17:08:06.0 (4309904)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:08:06.0 (4314794)|STATEMENT_EXECUTE|[1]
17:08:06.0 (4322384)|SYSTEM_METHOD_EXIT|[1]|Type
17:08:06.0 (4330124)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:06.0 (4346934)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:06.0 (4352995)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:08:06.0 (4378245)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x32516cc8
17:08:06.0 (4385214)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:08:06.0 (4473118)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x6bba821a
17:08:06.0 (6685851)|HEAP_ALLOCATE|[59]|Bytes:8
17:08:06.0 (6748662)|HEAP_ALLOCATE|[59]|Bytes:24
17:08:06.0 (6763272)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:08:06.0 (6769152)|STATEMENT_EXECUTE|[1]
17:08:06.0 (6776543)|SYSTEM_METHOD_EXIT|[1]|JSON
17:08:06.0 (6789312)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:08:06.0 (7232114)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:08:06.0 (7246123)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:08:06.0 (7285545)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x25252146
17:08:06.0 (7293936)|HEAP_ALLOCATE|[60]|Bytes:9
17:08:06.0 (7322356)|STATEMENT_EXECUTE|[60]
17:08:06.0 (7325796)|STATEMENT_EXECUTE|[67]
17:08:06.0 (7328525)|STATEMENT_EXECUTE|[67]
17:08:06.0 (7331036)|STATEMENT_EXECUTE|[68]
17:08:06.0 (7383527)|HEAP_ALLOCATE|[68]|Bytes:4
17:08:06.0 (7426519)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:08:06.0 (7443259)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x2c46e7d
17:08:06.0 (7459640)|STATEMENT_EXECUTE|[70]
17:08:06.0 (7474009)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:08:06.0 (7481369)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:08:06.0 (7488220)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:08:06.0 (7495769)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:08:06.0 (7503031)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:08:06.0 (7509861)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:08:06.0 (7520761)|HEAP_ALLOCATE|[70]|Bytes:150
17:08:06.0 (7527290)|HEAP_ALLOCATE|[70]|Bytes:51
17:08:06.0 (7532831)|HEAP_ALLOCATE|[70]|Bytes:13
17:08:06.0 (7544192)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
17:08:06.0 (7550352)|HEAP_ALLOCATE|[70]|Bytes:7
17:08:06.0 (7559462)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
17:08:06.0 (7612683)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
17:08:06.0 (7619012)|STATEMENT_EXECUTE|[6]
17:08:06.0 (7623183)|STATEMENT_EXECUTE|[6]
17:08:06.0 (9109199)|SYSTEM_MODE_ENTER|false
17:08:06.0 (9126350)|HEAP_ALLOCATE|[7]|Bytes:5
17:08:06.0 (9134390)|STATEMENT_EXECUTE|[7]
17:08:06.0 (9139640)|HEAP_ALLOCATE|[7]|Bytes:12
17:08:06.0 (9184201)|HEAP_ALLOCATE|[7]|Bytes:68
17:08:06.0 (9230392)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
17:08:06.0 (9236782)|STATEMENT_EXECUTE|[9]
17:08:06.0 (9242782)|HEAP_ALLOCATE|[9]|Bytes:5
17:08:06.0 (9253903)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
17:08:06.0 (9259372)|STATEMENT_EXECUTE|[12]
17:08:06.0 (9274163)|HEAP_ALLOCATE|[12]|Bytes:53
17:08:06.0 (9285393)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
17:08:06.0 (9291324)|STATEMENT_EXECUTE|[1]
17:08:06.0 (9295344)|STATEMENT_EXECUTE|[1]
17:08:06.0 (9301024)|METHOD_EXIT|[1]|RMDSelectorUser
17:08:06.0 (9311504)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
17:08:06.0 (9320013)|STATEMENT_EXECUTE|[124]
17:08:06.0 (9323573)|STATEMENT_EXECUTE|[125]
17:08:06.0 (9327194)|HEAP_ALLOCATE|[125]|Bytes:99
