44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:36:36.0 (172533)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:36:36.0 (241654)|EXECUTION_STARTED
16:36:36.0 (256704)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:36:36.0 (1520966)|HEAP_ALLOCATE|[95]|Bytes:3
16:36:36.0 (1624888)|HEAP_ALLOCATE|[100]|Bytes:152
16:36:36.0 (1643469)|HEAP_ALLOCATE|[417]|Bytes:408
16:36:36.0 (1693400)|HEAP_ALLOCATE|[430]|Bytes:408
16:36:36.0 (1727001)|HEAP_ALLOCATE|[317]|Bytes:6
16:36:36.0 (1751771)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:36:36.0 (1757091)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:36:36.0 (1760551)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:36:36.0 (1769541)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:36:36.0 (1775571)|STATEMENT_EXECUTE|[1]
16:36:36.0 (1780901)|STATEMENT_EXECUTE|[1]
16:36:36.0 (1818112)|HEAP_ALLOCATE|[68]|Bytes:5
16:36:36.0 (1849253)|HEAP_ALLOCATE|[74]|Bytes:5
16:36:36.0 (1858763)|HEAP_ALLOCATE|[82]|Bytes:7
16:36:36.0 (1869793)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:36:36.0 (1883243)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:36:36.0 (1889483)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:36.0 (1898984)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:36:36.0 (1904844)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:36:36.0 (1915884)|STATEMENT_EXECUTE|[15]
16:36:36.0 (1922814)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:36:36.0 (1926834)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:36:36.0 (1957795)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:36:36.0 (1963825)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:36:36.0 (2027456)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x3126081e"}|0x4ba5a860
16:36:36.0 (2034436)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:36:36.0 (2168728)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x4bd4abad
16:36:36.0 (2175108)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:36:36.0 (2463483)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-17T10:00:48.000Z","Account":{"Id":"0012t00000YUxUjAAL","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVftJAAT","AccountId":"0012t00000YUxUjAAL"}]|0x7bc4d89c
16:36:36.0 (2483034)|HEAP_ALLOCATE|[20]|Bytes:5
16:36:36.0 (2488464)|STATEMENT_EXECUTE|[19]
16:36:36.0 (2490814)|STATEMENT_EXECUTE|[20]
16:36:36.0 (2494214)|HEAP_ALLOCATE|[20]|Bytes:18
16:36:36.0 (2546745)|HEAP_ALLOCATE|[20]|Bytes:1
16:36:36.0 (2564645)|HEAP_ALLOCATE|[20]|Bytes:19
16:36:36.0 (2591776)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:36:36.0 (2600796)|STATEMENT_EXECUTE|[21]
16:36:36.0 (2614256)|HEAP_ALLOCATE|[21]|Bytes:4
16:36:36.0 (2657127)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4ba5a860
16:36:36.0 (2693587)|HEAP_ALLOCATE|[22]|Bytes:5
16:36:36.0 (2743078)|HEAP_ALLOCATE|[22]|Bytes:20
16:36:36.0 (2757238)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:36:36.0 (2876380)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-17T10:00:48.000Z","Account":{"Id":"0012t00000YUxUjAAL","RMD_Sync_with_SAP__c":true},"Id":"801e200000PVftJAAT","AccountId":"0012t00000YUxUjAAL"}|0x7485c663
16:36:36.0 (2884461)|STATEMENT_EXECUTE|[22]
16:36:36.0 (2886722)|STATEMENT_EXECUTE|[23]
16:36:36.0 (2912922)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:36:36.0 (2930031)|HEAP_ALLOCATE|[22]|Bytes:5
16:36:36.0 (2945043)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:36:36.0 (2950192)|STATEMENT_EXECUTE|[26]
16:36:36.0 (2953412)|HEAP_ALLOCATE|[26]|Bytes:13
16:36:36.0 (2977612)|HEAP_ALLOCATE|[26]|Bytes:1
16:36:36.0 (2990123)|HEAP_ALLOCATE|[26]|Bytes:14
16:36:36.0 (3001564)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:36:36.0 (3009663)|STATEMENT_EXECUTE|[27]
