60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:19:24.0 (204276)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:19:24.0 (234027)|EXECUTION_STARTED
16:19:24.0 (244067)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:19:24.0 (603015)|HEAP_ALLOCATE|[95]|Bytes:3
16:19:24.0 (676457)|HEAP_ALLOCATE|[100]|Bytes:152
16:19:24.0 (693439)|HEAP_ALLOCATE|[417]|Bytes:408
16:19:24.0 (708519)|HEAP_ALLOCATE|[430]|Bytes:408
16:19:24.0 (731170)|HEAP_ALLOCATE|[317]|Bytes:6
16:19:24.0 (754480)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:19:24.0 (759930)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:19:24.0 (763189)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:19:24.0 (772990)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:19:24.0 (778620)|STATEMENT_EXECUTE|[1]
16:19:24.0 (784011)|STATEMENT_EXECUTE|[1]
16:19:24.0 (811842)|HEAP_ALLOCATE|[68]|Bytes:5
16:19:24.0 (836421)|HEAP_ALLOCATE|[74]|Bytes:5
16:19:24.0 (845603)|HEAP_ALLOCATE|[82]|Bytes:7
16:19:24.0 (856542)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:19:24.0 (867302)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:19:24.0 (872213)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:19:24.0 (880533)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:19:24.0 (886444)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:19:24.0 (889654)|STATEMENT_EXECUTE|[15]
16:19:24.0 (895623)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:19:24.0 (899614)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:19:24.0 (929914)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:19:24.0 (935464)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:19:24.0 (996366)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6d22896c"}|0x7175f86f
16:19:24.0 (1002096)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:19:24.0 (1114739)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x20063df3
16:19:24.0 (1120588)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:19:24.0 (1355545)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"EXPIRED","Account":{"Id":"0012t00000K6BAlAAN","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000K6BAlAAN","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mtSNAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mtSNAAY"},"CreatedDate":"2025-09-26T06:45:39.000Z","Id":"801e2000007jjrNAAQ","RMD_ECC_Order_ID__c":"6691195403"}]|0x1410386d
16:19:24.0 (1374466)|HEAP_ALLOCATE|[17]|Bytes:5
16:19:24.0 (1379496)|STATEMENT_EXECUTE|[16]
16:19:24.0 (1382125)|STATEMENT_EXECUTE|[17]
16:19:24.0 (1385125)|HEAP_ALLOCATE|[17]|Bytes:18
16:19:24.0 (1437497)|HEAP_ALLOCATE|[17]|Bytes:1
16:19:24.0 (1454468)|HEAP_ALLOCATE|[17]|Bytes:19
16:19:24.0 (1477517)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:19:24.0 (1487558)|STATEMENT_EXECUTE|[18]
16:19:24.0 (1501568)|HEAP_ALLOCATE|[18]|Bytes:4
16:19:24.0 (1543270)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x7175f86f
16:19:24.0 (1576050)|HEAP_ALLOCATE|[19]|Bytes:5
16:19:24.0 (1609961)|HEAP_ALLOCATE|[19]|Bytes:40
16:19:24.0 (1620841)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:19:24.0 (1735465)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"EXPIRED","Account":{"Id":"0012t00000K6BAlAAN","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000K6BAlAAN","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mtSNAAY","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mtSNAAY"},"CreatedDate":"2025-09-26T06:45:39.000Z","Id":"801e2000007jjrNAAQ","RMD_ECC_Order_ID__c":"6691195403"}|0x2843bbeb
16:19:24.0 (1744334)|STATEMENT_EXECUTE|[19]
16:19:24.0 (1746545)|STATEMENT_EXECUTE|[20]
16:19:24.0 (1770045)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:19:24.0 (1787436)|HEAP_ALLOCATE|[19]|Bytes:5
16:19:24.0 (1800516)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:19:24.0 (1805357)|STATEMENT_EXECUTE|[23]
16:19:24.0 (1808016)|HEAP_ALLOCATE|[23]|Bytes:13
16:19:24.0 (1831536)|HEAP_ALLOCATE|[23]|Bytes:1
16:19:24.0 (1843566)|HEAP_ALLOCATE|[23]|Bytes:14
16:19:24.0 (1853588)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:19:24.0 (1861527)|STATEMENT_EXECUTE|[24]
16:19:24.0 (1875948)|HEAP_ALLOCATE|[24]|Bytes:20
16:19:24.0 (1888239)|HEAP_ALLOCATE|[24]|Bytes:33
16:19:24.0 (1897178)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007jjrNAAQ}
16:19:24.0 (1915829)|STATEMENT_EXECUTE|[25]
16:19:24.0 (1918039)|STATEMENT_EXECUTE|[26]
16:19:24.0 (1927270)|HEAP_ALLOCATE|[26]|Bytes:122
16:19:24.0 (1933240)|HEAP_ALLOCATE|[26]|Bytes:24
16:19:24.0 (1936569)|HEAP_ALLOCATE|[26]|Bytes:187
16:19:24.0 (1943329)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:19:24.0 (1947659)|STATEMENT_EXECUTE|[1]
16:19:24.0 (1951510)|STATEMENT_EXECUTE|[1]
16:19:24.0 (1957510)|HEAP_ALLOCATE|[26]|Bytes:5
16:19:24.0 (1962169)|STATEMENT_EXECUTE|[998]
16:19:24.0 (1964591)|STATEMENT_EXECUTE|[1015]
16:19:24.0 (1967090)|STATEMENT_EXECUTE|[1036]
16:19:24.0 (1972921)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:19:24.0 (1979940)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:19:24.0 (1985681)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:19:24.0 (1995980)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007jjrNAAQ"]|0x4f230
