60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:16:30.0 (185884)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:16:30.0 (222105)|EXECUTION_STARTED
16:16:30.0 (232156)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:16:30.0 (1058674)|HEAP_ALLOCATE|[95]|Bytes:3
16:16:30.0 (1164306)|HEAP_ALLOCATE|[100]|Bytes:152
16:16:30.0 (1188576)|HEAP_ALLOCATE|[417]|Bytes:408
16:16:30.0 (1209747)|HEAP_ALLOCATE|[430]|Bytes:408
16:16:30.0 (1244978)|HEAP_ALLOCATE|[317]|Bytes:6
16:16:30.0 (1275018)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:16:30.0 (1282558)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:16:30.0 (1287687)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:16:30.0 (1300589)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:16:30.0 (1354000)|STATEMENT_EXECUTE|[1]
16:16:30.0 (1360990)|STATEMENT_EXECUTE|[1]
16:16:30.0 (1428082)|HEAP_ALLOCATE|[68]|Bytes:5
16:16:30.0 (1463472)|HEAP_ALLOCATE|[74]|Bytes:5
16:16:30.0 (1473812)|HEAP_ALLOCATE|[82]|Bytes:7
16:16:30.0 (1487383)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:16:30.0 (1501372)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:16:30.0 (1507803)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:16:30.0 (1519924)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:16:30.0 (1527714)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:16:30.0 (1531784)|STATEMENT_EXECUTE|[15]
16:16:30.0 (1539773)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:16:30.0 (1545634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:16:30.0 (1586005)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
