44.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:42:08.0 (161894)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|India Standard Time|GMT+05:30
16:42:08.0 (231385)|EXECUTION_STARTED
16:42:08.0 (246396)|CODE_UNIT_STARTED|[EXTERNAL]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP
16:42:08.0 (1678810)|HEAP_ALLOCATE|[95]|Bytes:3
16:42:08.0 (1766952)|HEAP_ALLOCATE|[100]|Bytes:152
16:42:08.0 (1786733)|HEAP_ALLOCATE|[417]|Bytes:408
16:42:08.0 (1805433)|HEAP_ALLOCATE|[430]|Bytes:408
16:42:08.0 (1833654)|HEAP_ALLOCATE|[317]|Bytes:6
16:42:08.0 (1857234)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:42:08.0 (1862465)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
16:42:08.0 (1866155)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:42:08.0 (1877725)|METHOD_ENTRY|[1]|01p7F00000VLtZC|RMDBatchOrderSyncToSAP.RMDBatchOrderSyncToSAP()
16:42:08.0 (1883865)|STATEMENT_EXECUTE|[1]
16:42:08.0 (1888875)|STATEMENT_EXECUTE|[1]
16:42:08.0 (1920256)|HEAP_ALLOCATE|[68]|Bytes:5
16:42:08.0 (1945937)|HEAP_ALLOCATE|[74]|Bytes:5
16:42:08.0 (1955457)|HEAP_ALLOCATE|[82]|Bytes:7
16:42:08.0 (1965247)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:42:08.0 (1977157)|METHOD_EXIT|[1]|RMDBatchOrderSyncToSAP
16:42:08.0 (1982967)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:08.0 (1991248)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:42:08.0 (1997268)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:42:08.0 (2000518)|STATEMENT_EXECUTE|[15]
16:42:08.0 (2007718)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:42:08.0 (2012318)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:42:08.0 (2042859)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:42:08.0 (2048829)|VARIABLE_SCOPE_BEGIN|[19]|this|RMDBatchOrderSyncToSAP|true|false
16:42:08.0 (2120221)|VARIABLE_ASSIGNMENT|[19]|this|{"setOrderIDs":"0x5939f8a9"}|0x4bf3bcc5
16:42:08.0 (2125851)|VARIABLE_SCOPE_BEGIN|[19]|BC|Database.BatchableContext|true|false
16:42:08.0 (2280325)|VARIABLE_ASSIGNMENT|[19]|BC|{"childJobId":"707e200000og5wdAAA","jobId":"707e200000og8j1AAA"}|0x256e6c7d
16:42:08.0 (2287665)|VARIABLE_SCOPE_BEGIN|[19]|scope|List<Order>|true|false
16:42:08.0 (2705655)|VARIABLE_ASSIGNMENT|[19]|scope|[{"CreatedDate":"2026-04-16T12:34:46.000Z","Account":{"Id":"0017F00001WatlDQAR","RMD_Sync_with_SAP__c":true},"Id":"801e200000PQiILAA1","AccountId":"0017F00001WatlDQAR"}]|0x3851662d
16:42:08.0 (2725655)|HEAP_ALLOCATE|[20]|Bytes:5
16:42:08.0 (2739906)|STATEMENT_EXECUTE|[19]
16:42:08.0 (2742416)|STATEMENT_EXECUTE|[20]
16:42:08.0 (2745966)|HEAP_ALLOCATE|[20]|Bytes:18
16:42:08.0 (2802137)|HEAP_ALLOCATE|[20]|Bytes:1
16:42:08.0 (2820028)|HEAP_ALLOCATE|[20]|Bytes:19
16:42:08.0 (2846468)|USER_DEBUG|[20]|DEBUG|++++++scope+++++++1
16:42:08.0 (2856798)|STATEMENT_EXECUTE|[21]
16:42:08.0 (2871379)|HEAP_ALLOCATE|[21]|Bytes:4
16:42:08.0 (2917980)|VARIABLE_ASSIGNMENT|[21]|this.setOrderIDs|[]|0x4bf3bcc5
16:42:08.0 (2954661)|HEAP_ALLOCATE|[22]|Bytes:5
16:42:08.0 (2993722)|HEAP_ALLOCATE|[22]|Bytes:20
16:42:08.0 (3006882)|VARIABLE_SCOPE_BEGIN|[22]|obj|Order|true|false
16:42:08.0 (3075824)|VARIABLE_ASSIGNMENT|[22]|obj|{"CreatedDate":"2026-04-16T12:34:46.000Z","Account":{"Id":"0017F00001WatlDQAR","RMD_Sync_with_SAP__c":true},"Id":"801e200000PQiILAA1","AccountId":"0017F00001WatlDQAR"}|0x641af788
16:42:08.0 (3084184)|STATEMENT_EXECUTE|[22]
16:42:08.0 (3086654)|STATEMENT_EXECUTE|[23]
16:42:08.0 (3111745)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:42:08.0 (3127175)|HEAP_ALLOCATE|[22]|Bytes:5
16:42:08.0 (3141725)|VARIABLE_ASSIGNMENT|[22]|obj|null|
16:42:08.0 (3147005)|STATEMENT_EXECUTE|[26]
16:42:08.0 (3149806)|HEAP_ALLOCATE|[26]|Bytes:13
16:42:08.0 (3176036)|HEAP_ALLOCATE|[26]|Bytes:1
16:42:08.0 (3192267)|HEAP_ALLOCATE|[26]|Bytes:14
16:42:08.0 (3205417)|USER_DEBUG|[26]|DEBUG|setOrderIDs::1
16:42:08.0 (3215237)|STATEMENT_EXECUTE|[27]
16:42:08.0 (3233988)|HEAP_ALLOCATE|[27]|Bytes:20
16:42:08.0 (3248688)|HEAP_ALLOCATE|[27]|Bytes:33
16:42:08.0 (3259438)|USER_DEBUG|[27]|DEBUG|setOrderIDs::{801e200000PQiILAA1}
16:42:08.0 (3278879)|STATEMENT_EXECUTE|[28]
16:42:08.0 (3280979)|STATEMENT_EXECUTE|[29]
16:42:08.0 (3292689)|HEAP_ALLOCATE|[29]|Bytes:122
16:42:08.0 (3297849)|HEAP_ALLOCATE|[29]|Bytes:24
16:42:08.0 (3301269)|HEAP_ALLOCATE|[29]|Bytes:187
16:42:08.0 (3309379)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:42:08.0 (3313419)|STATEMENT_EXECUTE|[1]
16:42:08.0 (3316640)|STATEMENT_EXECUTE|[1]
16:42:08.0 (3322430)|HEAP_ALLOCATE|[29]|Bytes:5
16:42:08.0 (3326820)|STATEMENT_EXECUTE|[998]
16:42:08.0 (3329300)|STATEMENT_EXECUTE|[1015]
16:42:08.0 (3331410)|STATEMENT_EXECUTE|[1036]
16:42:08.0 (3338420)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:42:08.0 (3345580)|METHOD_ENTRY|[29]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:42:08.0 (3351100)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:42:08.0 (3363631)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000PQiILAA1"]|0x477419f7
16:42:08.0 (3373201)|HEAP_ALLOCATE|[59]|Bytes:5
16:42:08.0 (3378531)|STATEMENT_EXECUTE|[57]
16:42:08.0 (3380851)|STATEMENT_EXECUTE|[59]
16:42:08.0 (3384721)|HEAP_ALLOCATE|[59]|Bytes:27
16:42:08.0 (3422702)|HEAP_ALLOCATE|[59]|Bytes:96
16:42:08.0 (3429492)|HEAP_ALLOCATE|[59]|Bytes:69
16:42:08.0 (3484144)|HEAP_ALLOCATE|[59]|Bytes:33
16:42:08.0 (3492454)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:42:08.0 (3496834)|STATEMENT_EXECUTE|[1]
16:42:08.0 (3503254)|SYSTEM_METHOD_EXIT|[1]|Type
16:42:08.0 (3509274)|HEAP_ALLOCATE|[59]|Bytes:8
16:42:08.0 (3523865)|HEAP_ALLOCATE|[59]|Bytes:8
16:42:08.0 (3528455)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:42:08.0 (3545905)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x53a9e5af
16:42:08.0 (3550535)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:42:08.0 (3608577)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x1e50effc
16:42:08.0 (5779819)|HEAP_ALLOCATE|[59]|Bytes:8
16:42:08.0 (5799359)|HEAP_ALLOCATE|[59]|Bytes:24
16:42:08.0 (5808089)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:42:08.0 (5811690)|STATEMENT_EXECUTE|[1]
16:42:08.0 (5817010)|SYSTEM_METHOD_EXIT|[1]|JSON
16:42:08.0 (5825320)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:42:08.0 (6148998)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:42:08.0 (6159558)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:42:08.0 (6187969)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x760f8a4
16:42:08.0 (6195709)|HEAP_ALLOCATE|[60]|Bytes:9
16:42:08.0 (6221089)|STATEMENT_EXECUTE|[60]
16:42:08.0 (6224039)|STATEMENT_EXECUTE|[67]
16:42:08.0 (6226159)|STATEMENT_EXECUTE|[67]
16:42:08.0 (6228219)|STATEMENT_EXECUTE|[68]
16:42:08.0 (6269870)|HEAP_ALLOCATE|[68]|Bytes:4
16:42:08.0 (6304631)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:42:08.0 (6317552)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x3392a144
16:42:08.0 (6322622)|STATEMENT_EXECUTE|[70]
16:42:08.0 (6333292)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:42:08.0 (6340112)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:42:08.0 (6344952)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:42:08.0 (6350952)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:42:08.0 (6356013)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:42:08.0 (6360933)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:42:08.0 (6369313)|HEAP_ALLOCATE|[70]|Bytes:150
16:42:08.0 (6374433)|HEAP_ALLOCATE|[70]|Bytes:51
16:42:08.0 (6379153)|HEAP_ALLOCATE|[70]|Bytes:13
16:42:08.0 (6394273)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:42:08.0 (6400294)|HEAP_ALLOCATE|[70]|Bytes:7
16:42:08.0 (6408394)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:42:08.0 (6448945)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:42:08.0 (6454015)|STATEMENT_EXECUTE|[6]
