60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:27:40.0 (163135)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:27:40.0 (231276)|EXECUTION_STARTED
16:27:40.0 (243047)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:27:40.0 (1034947)|HEAP_ALLOCATE|[95]|Bytes:3
16:27:40.0 (1109329)|HEAP_ALLOCATE|[100]|Bytes:152
16:27:40.0 (1125629)|HEAP_ALLOCATE|[417]|Bytes:408
16:27:40.0 (1138380)|HEAP_ALLOCATE|[430]|Bytes:408
16:27:40.0 (1162600)|HEAP_ALLOCATE|[317]|Bytes:6
16:27:40.0 (1185611)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:27:40.0 (1191531)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:27:40.0 (1194661)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:27:40.0 (1202181)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:27:40.0 (1207442)|STATEMENT_EXECUTE|[1]
16:27:40.0 (1213392)|STATEMENT_EXECUTE|[1]
16:27:40.0 (1249003)|HEAP_ALLOCATE|[68]|Bytes:5
16:27:40.0 (1278533)|HEAP_ALLOCATE|[74]|Bytes:5
16:27:40.0 (1288754)|HEAP_ALLOCATE|[82]|Bytes:7
16:27:40.0 (1301095)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:27:40.0 (1314844)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:27:40.0 (1321345)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:40.0 (1330875)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:27:40.0 (1337385)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:27:40.0 (1341395)|STATEMENT_EXECUTE|[15]
16:27:40.0 (1347515)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:27:40.0 (1351905)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:27:40.0 (1385297)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:27:40.0 (1392657)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:27:40.0 (1547470)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x3dff9aed"}|0x161dfdae
16:27:40.0 (1556071)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:27:40.0 (1694274)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x2410eaac
16:27:40.0 (1700785)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:27:40.0 (2035644)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"LIVE","Account":{"Id":"001Ie000002QVdyIAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002QVdyIAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006IshfAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006IshfAAC"},"CreatedDate":"2025-10-03T12:45:18.000Z","Id":"801e2000008J5U8AAK","RMD_ECC_Order_ID__c":"6691223694"}]|0x43bc4027
16:27:40.0 (2058845)|HEAP_ALLOCATE|[17]|Bytes:5
16:27:40.0 (2065195)|STATEMENT_EXECUTE|[16]
16:27:40.0 (2068045)|STATEMENT_EXECUTE|[17]
16:27:40.0 (2072014)|HEAP_ALLOCATE|[17]|Bytes:18
16:27:40.0 (2133306)|HEAP_ALLOCATE|[17]|Bytes:1
16:27:40.0 (2152296)|HEAP_ALLOCATE|[17]|Bytes:19
16:27:40.0 (2181078)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:27:40.0 (2191907)|STATEMENT_EXECUTE|[18]
16:27:40.0 (2206747)|HEAP_ALLOCATE|[18]|Bytes:4
16:27:40.0 (2253059)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x161dfdae
16:27:40.0 (2291131)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:40.0 (2334711)|HEAP_ALLOCATE|[19]|Bytes:40
16:27:40.0 (2350122)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:27:40.0 (2506856)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"LIVE","Account":{"Id":"001Ie000002QVdyIAG","RMD_Sync_with_SAP__c":true},"AccountId":"001Ie000002QVdyIAG","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000006IshfAAC","Opportunity":{"StageName":"Closed Lost","Id":"006e2000006IshfAAC"},"CreatedDate":"2025-10-03T12:45:18.000Z","Id":"801e2000008J5U8AAK","RMD_ECC_Order_ID__c":"6691223694"}|0x74abdeb8
16:27:40.0 (2519767)|STATEMENT_EXECUTE|[19]
16:27:40.0 (2522537)|STATEMENT_EXECUTE|[20]
16:27:40.0 (2552527)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:27:40.0 (2571677)|HEAP_ALLOCATE|[19]|Bytes:5
16:27:40.0 (2586938)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:27:40.0 (2593357)|STATEMENT_EXECUTE|[23]
16:27:40.0 (2597049)|HEAP_ALLOCATE|[23]|Bytes:13
16:27:40.0 (2629329)|HEAP_ALLOCATE|[23]|Bytes:1
16:27:40.0 (2644180)|HEAP_ALLOCATE|[23]|Bytes:14
16:27:40.0 (2656479)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:27:40.0 (2666260)|STATEMENT_EXECUTE|[24]
16:27:40.0 (2684291)|HEAP_ALLOCATE|[24]|Bytes:20
16:27:40.0 (2696880)|HEAP_ALLOCATE|[24]|Bytes:33
16:27:40.0 (2706691)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000008J5U8AAK}
16:27:40.0 (2726321)|STATEMENT_EXECUTE|[25]
16:27:40.0 (2728952)|STATEMENT_EXECUTE|[26]
16:27:40.0 (2741081)|HEAP_ALLOCATE|[26]|Bytes:122
16:27:40.0 (2747142)|HEAP_ALLOCATE|[26]|Bytes:24
16:27:40.0 (2751463)|HEAP_ALLOCATE|[26]|Bytes:187
16:27:40.0 (2759823)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:27:40.0 (2765173)|STATEMENT_EXECUTE|[1]
16:27:40.0 (2768673)|STATEMENT_EXECUTE|[1]
16:27:40.0 (2775193)|HEAP_ALLOCATE|[26]|Bytes:5
16:27:40.0 (2779943)|STATEMENT_EXECUTE|[998]
16:27:40.0 (2782633)|STATEMENT_EXECUTE|[1015]
16:27:40.0 (2785233)|STATEMENT_EXECUTE|[1036]
16:27:40.0 (2792664)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:27:40.0 (2801384)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:27:40.0 (2807934)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:27:40.0 (2821874)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000008J5U8AAK"]|0x7a50db64
16:27:40.0 (2831805)|HEAP_ALLOCATE|[59]|Bytes:5
16:27:40.0 (2837495)|STATEMENT_EXECUTE|[57]
16:27:40.0 (2840105)|STATEMENT_EXECUTE|[59]
16:27:40.0 (2844425)|HEAP_ALLOCATE|[59]|Bytes:27
16:27:40.0 (2919007)|HEAP_ALLOCATE|[59]|Bytes:96
16:27:40.0 (2927007)|HEAP_ALLOCATE|[59]|Bytes:69
16:27:40.0 (2992129)|HEAP_ALLOCATE|[59]|Bytes:33
16:27:40.0 (3001879)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:27:40.0 (3006589)|STATEMENT_EXECUTE|[1]
16:27:40.0 (3013179)|SYSTEM_METHOD_EXIT|[1]|Type
16:27:40.0 (3019400)|HEAP_ALLOCATE|[59]|Bytes:8
16:27:40.0 (3035570)|HEAP_ALLOCATE|[59]|Bytes:8
16:27:40.0 (3041080)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:27:40.0 (3060821)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x1a8d8034
16:27:40.0 (3068231)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:27:40.0 (3127812)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x264fd2b2
16:27:40.0 (4784615)|HEAP_ALLOCATE|[59]|Bytes:8
16:27:40.0 (4799526)|HEAP_ALLOCATE|[59]|Bytes:24
16:27:40.0 (4806136)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:27:40.0 (4809816)|STATEMENT_EXECUTE|[1]
16:27:40.0 (4814176)|SYSTEM_METHOD_EXIT|[1]|JSON
16:27:40.0 (4823136)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:27:40.0 (5112155)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:27:40.0 (5122155)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:27:40.0 (5145446)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x4c0eb543
16:27:40.0 (5151225)|HEAP_ALLOCATE|[60]|Bytes:9
16:27:40.0 (5172886)|STATEMENT_EXECUTE|[60]
16:27:40.0 (5175517)|STATEMENT_EXECUTE|[67]
16:27:40.0 (5177527)|STATEMENT_EXECUTE|[67]
16:27:40.0 (5179577)|STATEMENT_EXECUTE|[68]
16:27:40.0 (5210337)|HEAP_ALLOCATE|[68]|Bytes:4
16:27:40.0 (5244218)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:27:40.0 (5257039)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x7d3ea751
16:27:40.0 (5261468)|STATEMENT_EXECUTE|[70]
16:27:40.0 (5271439)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:27:40.0 (5278059)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
