60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:23:03.0 (186335)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:23:03.0 (218386)|EXECUTION_STARTED
16:23:03.0 (226946)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:23:03.0 (614317)|HEAP_ALLOCATE|[95]|Bytes:3
16:23:03.0 (695119)|HEAP_ALLOCATE|[100]|Bytes:152
16:23:03.0 (714699)|HEAP_ALLOCATE|[417]|Bytes:408
16:23:03.0 (730400)|HEAP_ALLOCATE|[430]|Bytes:408
16:23:03.0 (760521)|HEAP_ALLOCATE|[317]|Bytes:6
16:23:03.0 (785721)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:23:03.0 (791041)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:23:03.0 (794262)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:23:03.0 (802971)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:23:03.0 (809862)|STATEMENT_EXECUTE|[1]
16:23:03.0 (816782)|STATEMENT_EXECUTE|[1]
16:23:03.0 (848572)|HEAP_ALLOCATE|[68]|Bytes:5
16:23:03.0 (875404)|HEAP_ALLOCATE|[74]|Bytes:5
16:23:03.0 (886944)|HEAP_ALLOCATE|[82]|Bytes:7
16:23:03.0 (900894)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:23:03.0 (913475)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:23:03.0 (918574)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:03.0 (927454)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:23:03.0 (933675)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:23:03.0 (937206)|STATEMENT_EXECUTE|[15]
16:23:03.0 (943975)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
16:23:03.0 (948786)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
16:23:03.0 (983456)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:23:03.0 (992397)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
16:23:03.0 (1069829)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x7ac8cd39"}|0x5ba92509
16:23:03.0 (1076869)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
16:23:03.0 (1226883)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000pGVeeAAG","jobId":"707e200000pHc3cAAC"}|0x1abffd5a
16:23:03.0 (1234274)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
16:23:03.0 (1506550)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0017F00001birkRQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001birkRQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mcrKAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mcrKAAQ"},"CreatedDate":"2025-09-26T05:54:26.000Z","Id":"801e2000007jL4HAAU","RMD_ECC_Order_ID__c":"6691258623"}]|0x6cf2719b
16:23:03.0 (1532562)|HEAP_ALLOCATE|[17]|Bytes:5
16:23:03.0 (1537732)|STATEMENT_EXECUTE|[16]
16:23:03.0 (1540242)|STATEMENT_EXECUTE|[17]
16:23:03.0 (1543502)|HEAP_ALLOCATE|[17]|Bytes:18
16:23:03.0 (1604913)|HEAP_ALLOCATE|[17]|Bytes:1
16:23:03.0 (1624713)|HEAP_ALLOCATE|[17]|Bytes:19
16:23:03.0 (1650105)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
16:23:03.0 (1658594)|STATEMENT_EXECUTE|[18]
16:23:03.0 (1672186)|HEAP_ALLOCATE|[18]|Bytes:4
16:23:03.0 (1713627)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x5ba92509
16:23:03.0 (1748298)|HEAP_ALLOCATE|[19]|Bytes:5
16:23:03.0 (1787409)|HEAP_ALLOCATE|[19]|Bytes:40
16:23:03.0 (1799558)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
16:23:03.0 (1918583)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0017F00001birkRQAQ","RMD_Sync_with_SAP__c":true},"AccountId":"0017F00001birkRQAQ","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e2000005mcrKAAQ","Opportunity":{"StageName":"Closed Lost","Id":"006e2000005mcrKAAQ"},"CreatedDate":"2025-09-26T05:54:26.000Z","Id":"801e2000007jL4HAAU","RMD_ECC_Order_ID__c":"6691258623"}|0x8c3790f
16:23:03.0 (1928642)|STATEMENT_EXECUTE|[19]
16:23:03.0 (1930943)|STATEMENT_EXECUTE|[20]
16:23:03.0 (1958934)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:23:03.0 (1976654)|HEAP_ALLOCATE|[19]|Bytes:5
16:23:03.0 (1990644)|VARIABLE_ASSIGNMENT|[19]|obj|null|
16:23:03.0 (1995995)|STATEMENT_EXECUTE|[23]
16:23:03.0 (1998955)|HEAP_ALLOCATE|[23]|Bytes:13
16:23:03.0 (2021825)|HEAP_ALLOCATE|[23]|Bytes:1
16:23:03.0 (2034936)|HEAP_ALLOCATE|[23]|Bytes:14
16:23:03.0 (2045346)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
16:23:03.0 (2053356)|STATEMENT_EXECUTE|[24]
16:23:03.0 (2070366)|HEAP_ALLOCATE|[24]|Bytes:20
16:23:03.0 (2081797)|HEAP_ALLOCATE|[24]|Bytes:33
16:23:03.0 (2091366)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e2000007jL4HAAU}
16:23:03.0 (2109748)|STATEMENT_EXECUTE|[25]
16:23:03.0 (2111998)|STATEMENT_EXECUTE|[26]
16:23:03.0 (2121678)|HEAP_ALLOCATE|[26]|Bytes:122
16:23:03.0 (2126858)|HEAP_ALLOCATE|[26]|Bytes:24
16:23:03.0 (2130238)|HEAP_ALLOCATE|[26]|Bytes:187
16:23:03.0 (2136928)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
16:23:03.0 (2140799)|STATEMENT_EXECUTE|[1]
16:23:03.0 (2144149)|STATEMENT_EXECUTE|[1]
16:23:03.0 (2150349)|HEAP_ALLOCATE|[26]|Bytes:5
16:23:03.0 (2154629)|STATEMENT_EXECUTE|[998]
16:23:03.0 (2157099)|STATEMENT_EXECUTE|[1015]
16:23:03.0 (2159439)|STATEMENT_EXECUTE|[1036]
16:23:03.0 (2166039)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
16:23:03.0 (2173280)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
16:23:03.0 (2178160)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
16:23:03.0 (2189080)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e2000007jL4HAAU"]|0x251e3253
16:23:03.0 (2197880)|HEAP_ALLOCATE|[59]|Bytes:5
16:23:03.0 (2203390)|STATEMENT_EXECUTE|[57]
16:23:03.0 (2205760)|STATEMENT_EXECUTE|[59]
16:23:03.0 (2209041)|HEAP_ALLOCATE|[59]|Bytes:27
16:23:03.0 (2241490)|HEAP_ALLOCATE|[59]|Bytes:96
16:23:03.0 (2247882)|HEAP_ALLOCATE|[59]|Bytes:69
16:23:03.0 (2327184)|HEAP_ALLOCATE|[59]|Bytes:33
16:23:03.0 (2335773)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
16:23:03.0 (2339114)|STATEMENT_EXECUTE|[1]
16:23:03.0 (2345074)|SYSTEM_METHOD_EXIT|[1]|Type
16:23:03.0 (2350584)|HEAP_ALLOCATE|[59]|Bytes:8
16:23:03.0 (2363974)|HEAP_ALLOCATE|[59]|Bytes:8
16:23:03.0 (2367915)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
16:23:03.0 (2385725)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x53bfaad6
16:23:03.0 (2391516)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
16:23:03.0 (2446007)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x43a0f88
16:23:03.0 (3756932)|HEAP_ALLOCATE|[59]|Bytes:8
16:23:03.0 (3771164)|HEAP_ALLOCATE|[59]|Bytes:24
16:23:03.0 (3777893)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
16:23:03.0 (3781204)|STATEMENT_EXECUTE|[1]
16:23:03.0 (3786613)|SYSTEM_METHOD_EXIT|[1]|JSON
16:23:03.0 (3794514)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
16:23:03.0 (4130153)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
16:23:03.0 (4142164)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
16:23:03.0 (4173184)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x147f8442
16:23:03.0 (4179995)|HEAP_ALLOCATE|[60]|Bytes:9
16:23:03.0 (4202325)|STATEMENT_EXECUTE|[60]
16:23:03.0 (4204885)|STATEMENT_EXECUTE|[67]
16:23:03.0 (4207126)|STATEMENT_EXECUTE|[67]
16:23:03.0 (4209316)|STATEMENT_EXECUTE|[68]
16:23:03.0 (4246007)|HEAP_ALLOCATE|[68]|Bytes:4
16:23:03.0 (4279587)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
16:23:03.0 (4293307)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x4b5d8bde
16:23:03.0 (4298218)|STATEMENT_EXECUTE|[70]
16:23:03.0 (4310738)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
16:23:03.0 (4316348)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
16:23:03.0 (4320919)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
16:23:03.0 (4325889)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
16:23:03.0 (4330969)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
16:23:03.0 (4335508)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
16:23:03.0 (4343689)|HEAP_ALLOCATE|[70]|Bytes:150
16:23:03.0 (4349479)|HEAP_ALLOCATE|[70]|Bytes:51
16:23:03.0 (4353260)|HEAP_ALLOCATE|[70]|Bytes:13
16:23:03.0 (4361610)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.AUTHORIZATION|"Authorization"
16:23:03.0 (4366580)|HEAP_ALLOCATE|[70]|Bytes:7
16:23:03.0 (4373450)|VARIABLE_ASSIGNMENT|[70]|RMDCommonHelper.BEARER|"Bearer "
16:23:03.0 (4407971)|METHOD_ENTRY|[6]|01p7F00000VLtZg|RMDCommonHelper.RMDCommonHelper()
16:23:03.0 (4412830)|STATEMENT_EXECUTE|[6]
16:23:03.0 (4416291)|STATEMENT_EXECUTE|[6]
16:23:03.0 (4958856)|SYSTEM_MODE_ENTER|false
16:23:03.0 (4968737)|HEAP_ALLOCATE|[7]|Bytes:5
16:23:03.0 (4973947)|STATEMENT_EXECUTE|[7]
16:23:03.0 (4977397)|HEAP_ALLOCATE|[7]|Bytes:12
16:23:03.0 (5003006)|HEAP_ALLOCATE|[7]|Bytes:68
16:23:03.0 (5018998)|VARIABLE_ASSIGNMENT|[7]|RMDCommonHelper.BASE_URL|"https://timesofindia (48 more) ..."
16:23:03.0 (5023678)|STATEMENT_EXECUTE|[9]
16:23:03.0 (5028058)|HEAP_ALLOCATE|[9]|Bytes:5
16:23:03.0 (5036148)|VARIABLE_ASSIGNMENT|[9]|RMDCommonHelper.run|true
16:23:03.0 (5039908)|STATEMENT_EXECUTE|[12]
16:23:03.0 (5049989)|HEAP_ALLOCATE|[12]|Bytes:53
16:23:03.0 (5057619)|METHOD_ENTRY|[1]|01p7F00000VLtbL|RMDSelectorUser.RMDSelectorUser()
16:23:03.0 (5061639)|STATEMENT_EXECUTE|[1]
16:23:03.0 (5064949)|STATEMENT_EXECUTE|[1]
16:23:03.0 (5069488)|METHOD_EXIT|[1]|RMDSelectorUser
16:23:03.0 (5076229)|METHOD_ENTRY|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:23:03.0 (5082660)|STATEMENT_EXECUTE|[124]
16:23:03.0 (5084900)|STATEMENT_EXECUTE|[125]
16:23:03.0 (5088110)|HEAP_ALLOCATE|[125]|Bytes:99
16:23:03.0 (5102169)|HEAP_ALLOCATE|[125]|Bytes:4
16:23:03.0 (5597103)|SOQL_EXECUTE_BEGIN|[125]|Aggregations:0|SELECT id FROM User WHERE (name = 'Integration User' AND Profile.Name = 'Integration User') LIMIT 1
16:23:03.0 (11279800)|SOQL_EXECUTE_END|[125]|Rows:1
16:23:03.0 (11325180)|HEAP_ALLOCATE|[125]|Bytes:8
16:23:03.0 (11353461)|HEAP_ALLOCATE|[125]|Bytes:60
16:23:03.0 (11415164)|HEAP_ALLOCATE|[125]|Bytes:8
16:23:03.0 (11443524)|METHOD_EXIT|[12]|01p7F00000VLtbL|RMDSelectorUser.getIntegrationUserId()
16:23:03.0 (11552746)|VARIABLE_ASSIGNMENT|[12]|RMDCommonHelper.integrationId|[{"ProfileId":"00e7F000000ZzhEQAS","Id":"0057F000004GzVlQAK"}]|0x20665a
16:23:03.0 (11566387)|SYSTEM_MODE_EXIT|false
16:23:03.0 (11583467)|METHOD_EXIT|[6]|RMDCommonHelper
16:23:03.0 (11595359)|METHOD_ENTRY|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:23:03.0 (11610999)|SYSTEM_MODE_ENTER|false
16:23:03.0 (11626259)|HEAP_ALLOCATE|[446]|Bytes:5
16:23:03.0 (11631690)|STATEMENT_EXECUTE|[445]
16:23:03.0 (11634420)|STATEMENT_EXECUTE|[446]
16:23:03.0 (11659010)|HEAP_ALLOCATE|[446]|Bytes:16
16:23:03.0 (11667811)|METHOD_ENTRY|[1]|01p7F00000VLtaw|RMDSelectorCommon.RMDSelectorCommon()
16:23:03.0 (11671851)|STATEMENT_EXECUTE|[1]
16:23:03.0 (11675390)|STATEMENT_EXECUTE|[1]
16:23:03.0 (11679321)|METHOD_EXIT|[1]|RMDSelectorCommon
16:23:03.0 (11686741)|METHOD_ENTRY|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:23:03.0 (11691841)|VARIABLE_SCOPE_BEGIN|[3]|setOfAssignToName|Set<String>|true|false
16:23:03.0 (11702502)|VARIABLE_ASSIGNMENT|[3]|setOfAssignToName|null|
16:23:03.0 (11707311)|STATEMENT_EXECUTE|[3]
16:23:03.0 (11709502)|STATEMENT_EXECUTE|[4]
16:23:03.0 (11724852)|HEAP_ALLOCATE|[4]|Bytes:4
16:23:03.0 (11745693)|VARIABLE_SCOPE_BEGIN|[4]|listORG|List<Organization>|true|false
16:23:03.0 (11753943)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
16:23:03.0 (11761912)|VARIABLE_ASSIGNMENT|[4]|listORG|[]|0x5c48839a
16:23:03.0 (11767333)|STATEMENT_EXECUTE|[5]
16:23:03.0 (11771792)|HEAP_ALLOCATE|[5]|Bytes:42
16:23:03.0 (11785113)|HEAP_ALLOCATE|[5]|Bytes:4
16:23:03.0 (12006540)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT IsSandbox FROM Organization LIMIT 1
16:23:03.0 (14057146)|SOQL_EXECUTE_END|[5]|Rows:1
16:23:03.0 (14080237)|HEAP_ALLOCATE|[5]|Bytes:8
16:23:03.0 (14095677)|HEAP_ALLOCATE|[5]|Bytes:46
16:23:03.0 (14136589)|HEAP_ALLOCATE|[5]|Bytes:8
16:23:03.0 (14205090)|VARIABLE_ASSIGNMENT|[5]|listORG|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x6f8df3ca
16:23:03.0 (14211671)|STATEMENT_EXECUTE|[7]
16:23:03.0 (14222940)|METHOD_EXIT|[446]|01p7F00000VLtaw|RMDSelectorCommon.getOrgInstance(Set<String>)
16:23:03.0 (14230740)|VARIABLE_SCOPE_BEGIN|[446]|listOfOrg|List<Organization>|true|false
16:23:03.0 (14277532)|VARIABLE_ASSIGNMENT|[446]|listOfOrg|[{"IsSandbox":false,"Id":"00D7F000005CdiiUAC"}]|0x6f8df3ca
16:23:03.0 (14283403)|STATEMENT_EXECUTE|[450]
16:23:03.0 (14290523)|VARIABLE_SCOPE_BEGIN|[450]|IsSandbox|Boolean|false|false
16:23:03.0 (14305313)|HEAP_ALLOCATE|[450]|Bytes:5
16:23:03.0 (14313843)|VARIABLE_ASSIGNMENT|[450]|IsSandbox|false
16:23:03.0 (14340754)|STATEMENT_EXECUTE|[451]
16:23:03.0 (14343194)|STATEMENT_EXECUTE|[452]
16:23:03.0 (14369595)|HEAP_ALLOCATE|[452]|Bytes:12
16:23:03.0 (14395156)|VARIABLE_ASSIGNMENT|[452]|IsSandbox|false
16:23:03.0 (14399726)|STATEMENT_EXECUTE|[454]
16:23:03.0 (14406246)|SYSTEM_MODE_EXIT|false
16:23:03.0 (14417185)|METHOD_EXIT|[70]|01p7F00000VLtZg|RMDCommonHelper.getOrgInstance()
16:23:03.0 (14423206)|VARIABLE_SCOPE_BEGIN|[70]|IsSandbox|Boolean|false|false
16:23:03.0 (14430957)|VARIABLE_ASSIGNMENT|[70]|IsSandbox|false
16:23:03.0 (14436437)|STATEMENT_EXECUTE|[74]
16:23:03.0 (14438746)|STATEMENT_EXECUTE|[75]
16:23:03.0 (14443437)|HEAP_ALLOCATE|[75]|Bytes:9
16:23:03.0 (14448786)|HEAP_ALLOCATE|[75]|Bytes:10
16:23:03.0 (14452426)|HEAP_ALLOCATE|[75]|Bytes:9
16:23:03.0 (14464058)|METHOD_ENTRY|[75]|01p7F00000VLtZg|RMDCommonHelper.getIntegrationConfig(String, String, String)
16:23:03.0 (14470067)|VARIABLE_SCOPE_BEGIN|[461]|vendor|String|false|false
16:23:03.0 (14479187)|VARIABLE_ASSIGNMENT|[461]|vendor|"SFDCTOSAP"
16:23:03.0 (14482448)|VARIABLE_SCOPE_BEGIN|[461]|instance|String|false|false
16:23:03.0 (14488808)|VARIABLE_ASSIGNMENT|[461]|instance|"PRODUCTION"
16:23:03.0 (14492027)|VARIABLE_SCOPE_BEGIN|[461]|requestType|String|false|false
16:23:03.0 (14498427)|VARIABLE_ASSIGNMENT|[461]|requestType|"ORDERSYNC"
16:23:03.0 (14506659)|SYSTEM_MODE_ENTER|false
16:23:03.0 (14513199)|HEAP_ALLOCATE|[462]|Bytes:5
16:23:03.0 (14517508)|STATEMENT_EXECUTE|[461]
16:23:03.0 (14520459)|STATEMENT_EXECUTE|[462]
16:23:03.0 (14524039)|HEAP_ALLOCATE|[462]|Bytes:1
16:23:03.0 (14541909)|HEAP_ALLOCATE|[462]|Bytes:30
16:23:03.0 (14550050)|VARIABLE_SCOPE_BEGIN|[462]|configName|String|false|false
16:23:03.0 (14564290)|VARIABLE_ASSIGNMENT|[462]|configName|"PRODUCTION_SFDCTOSAP (10 more) ..."
16:23:03.0 (14570309)|STATEMENT_EXECUTE|[463]
16:23:03.0 (14579710)|METHOD_ENTRY|[463]|01p7F00000VLtaw|RMDSelectorCommon.getIntegrationConfig(String)
16:23:03.0 (14586971)|VARIABLE_SCOPE_BEGIN|[10]|configName|String|false|false
16:23:03.0 (14597150)|VARIABLE_ASSIGNMENT|[10]|configName|"PRODUCTION_SFDCTOSAP (10 more) ..."
16:23:03.0 (14601801)|STATEMENT_EXECUTE|[10]
16:23:03.0 (14604070)|STATEMENT_EXECUTE|[11]
16:23:03.0 (14618422)|HEAP_ALLOCATE|[11]|Bytes:4
16:23:03.0 (14636671)|VARIABLE_SCOPE_BEGIN|[11]|listConfig|List<RMD_Integration_Config__c>|true|false
16:23:03.0 (14643862)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
