60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:24:17.0 (170904)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:24:17.0 (205905)|EXECUTION_STARTED
16:24:17.0 (218985)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:24:17.0 (702376)|HEAP_ALLOCATE|[95]|Bytes:3
16:24:17.0 (783778)|HEAP_ALLOCATE|[100]|Bytes:152
16:24:17.0 (801259)|HEAP_ALLOCATE|[417]|Bytes:408
16:24:17.0 (816799)|HEAP_ALLOCATE|[430]|Bytes:408
16:24:17.0 (844460)|HEAP_ALLOCATE|[317]|Bytes:6
16:24:17.0 (868780)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:24:17.0 (874410)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:24:17.0 (877610)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:24:17.0 (885771)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:24:17.0 (890971)|STATEMENT_EXECUTE|[1]
16:24:17.0 (897121)|STATEMENT_EXECUTE|[1]
16:24:17.0 (926052)|HEAP_ALLOCATE|[68]|Bytes:5
16:24:17.0 (957522)|HEAP_ALLOCATE|[74]|Bytes:5
16:24:17.0 (970503)|HEAP_ALLOCATE|[82]|Bytes:7
16:24:17.0 (984333)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:24:17.0 (1000223)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:24:17.0 (1007584)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:24:17.0 (1019224)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
16:24:17.0 (1027974)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
16:24:17.0 (1032264)|STATEMENT_EXECUTE|[15]
16:24:17.0 (1040884)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
