60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
10:31:45.0 (212545)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
10:31:45.0 (287287)|EXECUTION_STARTED
10:31:45.0 (298487)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
10:31:45.0 (970594)|HEAP_ALLOCATE|[95]|Bytes:3
10:31:45.0 (1087197)|HEAP_ALLOCATE|[100]|Bytes:152
10:31:45.0 (1116397)|HEAP_ALLOCATE|[417]|Bytes:408
10:31:45.0 (1142808)|HEAP_ALLOCATE|[430]|Bytes:408
10:31:45.0 (1185429)|HEAP_ALLOCATE|[317]|Bytes:6
10:31:45.0 (1225339)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
10:31:45.0 (1235870)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
10:31:45.0 (1242270)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
10:31:45.0 (1256211)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
10:31:45.0 (1264491)|STATEMENT_EXECUTE|[1]
10:31:45.0 (1272671)|STATEMENT_EXECUTE|[1]
10:31:45.0 (1310852)|HEAP_ALLOCATE|[68]|Bytes:5
10:31:45.0 (1346803)|HEAP_ALLOCATE|[74]|Bytes:5
10:31:45.0 (1362222)|HEAP_ALLOCATE|[82]|Bytes:7
10:31:45.0 (1379634)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
10:31:45.0 (1401654)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
10:31:45.0 (1411284)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
10:31:45.0 (1425085)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
10:31:45.0 (1434944)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
10:31:45.0 (1440035)|STATEMENT_EXECUTE|[15]
10:31:45.0 (1450555)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
10:31:45.0 (1457116)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
10:31:45.0 (1507777)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
