60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
17:10:37.0 (160504)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
17:10:37.0 (197044)|EXECUTION_STARTED
17:10:37.0 (210805)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
17:10:37.0 (655686)|HEAP_ALLOCATE|[95]|Bytes:3
17:10:37.0 (739217)|HEAP_ALLOCATE|[100]|Bytes:152
17:10:37.0 (755848)|HEAP_ALLOCATE|[417]|Bytes:408
17:10:37.0 (770999)|HEAP_ALLOCATE|[430]|Bytes:408
17:10:37.0 (799209)|HEAP_ALLOCATE|[317]|Bytes:6
17:10:37.0 (824099)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
17:10:37.0 (829760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
17:10:37.0 (832899)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
17:10:37.0 (841720)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
17:10:37.0 (847390)|STATEMENT_EXECUTE|[1]
17:10:37.0 (853291)|STATEMENT_EXECUTE|[1]
17:10:37.0 (882580)|HEAP_ALLOCATE|[68]|Bytes:5
17:10:37.0 (911941)|HEAP_ALLOCATE|[74]|Bytes:5
17:10:37.0 (1054925)|HEAP_ALLOCATE|[82]|Bytes:7
17:10:37.0 (1068265)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
17:10:37.0 (1080465)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
17:10:37.0 (1085865)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:37.0 (1095505)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
17:10:37.0 (1101487)|SYSTEM_METHOD_ENTRY|[15]|BatchableContextImpl.BatchableContextImpl()
17:10:37.0 (1105066)|STATEMENT_EXECUTE|[15]
17:10:37.0 (1112306)|SYSTEM_METHOD_EXIT|[15]|BatchableContextImpl
17:10:37.0 (1117137)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
17:10:37.0 (1154547)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
17:10:37.0 (1160507)|VARIABLE_SCOPE_BEGIN|[16]|this|RMDBatchOrderModifySyncToSAP|true|false
17:10:37.0 (1230319)|VARIABLE_ASSIGNMENT|[16]|this|{"setOrderIDs":"0x6b3fe3a2"}|0x587076c7
17:10:37.0 (1235839)|VARIABLE_SCOPE_BEGIN|[16]|BC|Database.BatchableContext|true|false
17:10:37.0 (1381152)|VARIABLE_ASSIGNMENT|[16]|BC|{"childJobId":"707e200000of5QMAAY","jobId":"707e200000oepJAAAY"}|0x7f0cb8ad
17:10:37.0 (1387253)|VARIABLE_SCOPE_BEGIN|[16]|scope|List<Order>|true|false
17:10:37.0 (1666310)|VARIABLE_ASSIGNMENT|[16]|scope|[{"Status":"TERMINATED","Account":{"Id":"0012t00000P2jogAAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000P2jogAAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085vlpAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085vlpAAA"},"CreatedDate":"2025-10-28T10:01:35.000Z","Id":"801e200000ADXMzAAP","RMD_ECC_Order_ID__c":"6691320176"}]|0x4d4f0685
17:10:37.0 (1691480)|HEAP_ALLOCATE|[17]|Bytes:5
17:10:37.0 (1697351)|STATEMENT_EXECUTE|[16]
17:10:37.0 (1699600)|STATEMENT_EXECUTE|[17]
17:10:37.0 (1703271)|HEAP_ALLOCATE|[17]|Bytes:18
17:10:37.0 (1759542)|HEAP_ALLOCATE|[17]|Bytes:1
17:10:37.0 (1775662)|HEAP_ALLOCATE|[17]|Bytes:19
17:10:37.0 (1802012)|USER_DEBUG|[17]|DEBUG|++++++scope+++++++1
17:10:37.0 (1811132)|STATEMENT_EXECUTE|[18]
17:10:37.0 (1825224)|HEAP_ALLOCATE|[18]|Bytes:4
17:10:37.0 (1877644)|VARIABLE_ASSIGNMENT|[18]|this.setOrderIDs|[]|0x587076c7
17:10:37.0 (1920826)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:37.0 (1966267)|HEAP_ALLOCATE|[19]|Bytes:40
17:10:37.0 (1980627)|VARIABLE_SCOPE_BEGIN|[19]|obj|Order|true|false
17:10:37.0 (2116890)|VARIABLE_ASSIGNMENT|[19]|obj|{"Status":"TERMINATED","Account":{"Id":"0012t00000P2jogAAB","RMD_Sync_with_SAP__c":true},"AccountId":"0012t00000P2jogAAB","RMD_Order_Sync_Pending__c":true,"OpportunityId":"006e20000085vlpAAA","Opportunity":{"StageName":"Closed Lost","Id":"006e20000085vlpAAA"},"CreatedDate":"2025-10-28T10:01:35.000Z","Id":"801e200000ADXMzAAP","RMD_ECC_Order_ID__c":"6691320176"}|0x59a48bf8
17:10:37.0 (2128540)|STATEMENT_EXECUTE|[19]
17:10:37.0 (2131521)|STATEMENT_EXECUTE|[20]
17:10:37.0 (2158091)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
17:10:37.0 (2178701)|HEAP_ALLOCATE|[19]|Bytes:5
17:10:37.0 (2193312)|VARIABLE_ASSIGNMENT|[19]|obj|null|
17:10:37.0 (2198592)|STATEMENT_EXECUTE|[23]
17:10:37.0 (2201643)|HEAP_ALLOCATE|[23]|Bytes:13
17:10:37.0 (2229003)|HEAP_ALLOCATE|[23]|Bytes:1
17:10:37.0 (2241252)|HEAP_ALLOCATE|[23]|Bytes:14
17:10:37.0 (2254924)|USER_DEBUG|[23]|DEBUG|setOrderIDs::1
17:10:37.0 (2263284)|STATEMENT_EXECUTE|[24]
17:10:37.0 (2279343)|HEAP_ALLOCATE|[24]|Bytes:20
17:10:37.0 (2292275)|HEAP_ALLOCATE|[24]|Bytes:33
17:10:37.0 (2301334)|USER_DEBUG|[24]|DEBUG|setOrderIDs::{801e200000ADXMzAAP}
17:10:37.0 (2319755)|STATEMENT_EXECUTE|[25]
17:10:37.0 (2321955)|STATEMENT_EXECUTE|[26]
17:10:37.0 (2334095)|HEAP_ALLOCATE|[26]|Bytes:122
17:10:37.0 (2339046)|HEAP_ALLOCATE|[26]|Bytes:24
17:10:37.0 (2342385)|HEAP_ALLOCATE|[26]|Bytes:187
17:10:37.0 (2349825)|METHOD_ENTRY|[1]|01p7F00000VLtae|RMDSAPOrderSyncHelper.RMDSAPOrderSyncHelper()
17:10:37.0 (2354996)|STATEMENT_EXECUTE|[1]
17:10:37.0 (2358686)|STATEMENT_EXECUTE|[1]
17:10:37.0 (2366065)|HEAP_ALLOCATE|[26]|Bytes:5
17:10:37.0 (2370287)|STATEMENT_EXECUTE|[998]
17:10:37.0 (2372767)|STATEMENT_EXECUTE|[1015]
17:10:37.0 (2375066)|STATEMENT_EXECUTE|[1036]
17:10:37.0 (2382557)|METHOD_EXIT|[1]|RMDSAPOrderSyncHelper
17:10:37.0 (2389786)|METHOD_ENTRY|[26]|01p7F00000VLtae|RMDSAPOrderSyncHelper.sync(Set<Id>)
17:10:37.0 (2395106)|VARIABLE_SCOPE_BEGIN|[57]|setOfOrderIds|Set<Id>|true|false
17:10:37.0 (2407256)|VARIABLE_ASSIGNMENT|[57]|setOfOrderIds|["801e200000ADXMzAAP"]|0x2c866c32
17:10:37.0 (2416888)|HEAP_ALLOCATE|[59]|Bytes:5
17:10:37.0 (2421798)|STATEMENT_EXECUTE|[57]
17:10:37.0 (2423958)|STATEMENT_EXECUTE|[59]
17:10:37.0 (2428307)|HEAP_ALLOCATE|[59]|Bytes:27
17:10:37.0 (2461858)|HEAP_ALLOCATE|[59]|Bytes:96
17:10:37.0 (2468188)|HEAP_ALLOCATE|[59]|Bytes:69
17:10:37.0 (2530240)|HEAP_ALLOCATE|[59]|Bytes:33
17:10:37.0 (2539571)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
17:10:37.0 (2543251)|STATEMENT_EXECUTE|[1]
17:10:37.0 (2549931)|SYSTEM_METHOD_EXIT|[1]|Type
17:10:37.0 (2555790)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:37.0 (2569931)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:37.0 (2574091)|VARIABLE_SCOPE_BEGIN|[4]|this|System.Type|true|false
17:10:37.0 (2591802)|VARIABLE_ASSIGNMENT|[4]|this|{}|0x7f6c2d38
17:10:37.0 (2596541)|VARIABLE_SCOPE_BEGIN|[4]|apextype|java:common.apex.runtime.ApexObjectType|true|false
17:10:37.0 (2664363)|VARIABLE_ASSIGNMENT|[4]|apextype|"Map<String,Boolean>"|0x50f12efe
17:10:37.0 (4057625)|HEAP_ALLOCATE|[59]|Bytes:8
17:10:37.0 (4079506)|HEAP_ALLOCATE|[59]|Bytes:24
17:10:37.0 (4088437)|SYSTEM_METHOD_ENTRY|[1]|JSON.JSON()
17:10:37.0 (4092477)|STATEMENT_EXECUTE|[1]
17:10:37.0 (4098016)|SYSTEM_METHOD_EXIT|[1]|JSON
17:10:37.0 (4107666)|METHOD_ENTRY|[59]||System.JSON.deserialize(String, System.Type)
17:10:37.0 (4531956)|METHOD_EXIT|[59]||System.JSON.deserialize(String, System.Type)
17:10:37.0 (4549867)|VARIABLE_SCOPE_BEGIN|[59]|mapSAPSyncExecutionMode|Map<String,Boolean>|true|false
17:10:37.0 (4625039)|VARIABLE_ASSIGNMENT|[59]|mapSAPSyncExecutionMode|{"LeadSync":false,"AccountSync":true,"OrderSync":true,"AccountSyncMag":true,"OrderSyncMag":true}|0x1d1289f5
17:10:37.0 (4638399)|HEAP_ALLOCATE|[60]|Bytes:9
17:10:37.0 (4669531)|STATEMENT_EXECUTE|[60]
17:10:37.0 (4672341)|STATEMENT_EXECUTE|[67]
17:10:37.0 (4674381)|STATEMENT_EXECUTE|[67]
17:10:37.0 (4676710)|STATEMENT_EXECUTE|[68]
17:10:37.0 (4724292)|HEAP_ALLOCATE|[68]|Bytes:4
17:10:37.0 (4763173)|VARIABLE_SCOPE_BEGIN|[68]|objIntegrationConfig|RMD_Integration_Config__c|true|false
17:10:37.0 (4777032)|VARIABLE_ASSIGNMENT|[68]|objIntegrationConfig|{}|0x44e76f59
17:10:37.0 (4782232)|STATEMENT_EXECUTE|[70]
17:10:37.0 (4793792)|VARIABLE_SCOPE_BEGIN|[10]|RMDCommonHelper.AUTHORIZATION|String|false|true
17:10:37.0 (4800304)|VARIABLE_SCOPE_BEGIN|[7]|RMDCommonHelper.BASE_URL|String|false|true
17:10:37.0 (4804753)|VARIABLE_SCOPE_BEGIN|[11]|RMDCommonHelper.BEARER|String|false|true
17:10:37.0 (4810433)|VARIABLE_SCOPE_BEGIN|[12]|RMDCommonHelper.integrationId|List<User>|true|true
17:10:37.0 (4815664)|VARIABLE_SCOPE_BEGIN|[8]|RMDCommonHelper.objUser|User|true|true
17:10:37.0 (4820403)|VARIABLE_SCOPE_BEGIN|[9]|RMDCommonHelper.run|Boolean|false|true
17:10:37.0 (4829913)|HEAP_ALLOCATE|[70]|Bytes:150
17:10:37.0 (4835003)|HEAP_ALLOCATE|[70]|Bytes:51
