60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:29:53.0 (158323)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:29:53.0 (195293)|EXECUTION_STARTED
16:29:53.0 (209684)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:29:53.0 (1411405)|HEAP_ALLOCATE|[95]|Bytes:3
16:29:53.0 (1488646)|HEAP_ALLOCATE|[100]|Bytes:152
16:29:53.0 (1505156)|HEAP_ALLOCATE|[417]|Bytes:408
16:29:53.0 (1520396)|HEAP_ALLOCATE|[430]|Bytes:408
16:29:53.0 (1554897)|HEAP_ALLOCATE|[317]|Bytes:6
16:29:53.0 (1585608)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:29:53.0 (1592248)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:29:53.0 (1596428)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:29:53.0 (1605948)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:29:53.0 (1611498)|STATEMENT_EXECUTE|[1]
16:29:53.0 (1616858)|STATEMENT_EXECUTE|[1]
16:29:53.0 (1647849)|HEAP_ALLOCATE|[68]|Bytes:5
16:29:53.0 (1672059)|HEAP_ALLOCATE|[74]|Bytes:5
16:29:53.0 (1681029)|HEAP_ALLOCATE|[82]|Bytes:7
16:29:53.0 (1692419)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:29:53.0 (1704650)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:29:53.0 (1710430)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
