60.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DATA_ACCESS,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
16:35:58.0 (198264)|USER_INFO|[EXTERNAL]|0052t000000K4aE|rmdsupport1@timesgroup.com|(GMT+05:30) India Standard Time (Asia/Kolkata)|GMT+05:30
16:35:58.0 (275416)|EXECUTION_STARTED
16:35:58.0 (292187)|CODE_UNIT_STARTED|[EXTERNAL]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP
16:35:58.0 (1100424)|HEAP_ALLOCATE|[95]|Bytes:3
16:35:58.0 (1208756)|HEAP_ALLOCATE|[100]|Bytes:152
16:35:58.0 (1232727)|HEAP_ALLOCATE|[417]|Bytes:408
16:35:58.0 (1251447)|HEAP_ALLOCATE|[430]|Bytes:408
16:35:58.0 (1283798)|HEAP_ALLOCATE|[317]|Bytes:6
16:35:58.0 (1313038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:99
16:35:58.0 (1320298)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
16:35:58.0 (1324999)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:14
16:35:58.0 (1339409)|METHOD_ENTRY|[1]|01p2t000002THB9|RMDBatchOrderModifySyncToSAP.RMDBatchOrderModifySyncToSAP()
16:35:58.0 (1347959)|STATEMENT_EXECUTE|[1]
16:35:58.0 (1355199)|STATEMENT_EXECUTE|[1]
16:35:58.0 (1390140)|HEAP_ALLOCATE|[68]|Bytes:5
16:35:58.0 (1419811)|HEAP_ALLOCATE|[74]|Bytes:5
16:35:58.0 (1430201)|HEAP_ALLOCATE|[82]|Bytes:7
16:35:58.0 (1443111)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
16:35:58.0 (1487972)|METHOD_EXIT|[1]|RMDBatchOrderModifySyncToSAP
16:35:58.0 (1498452)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
16:35:58.0 (1511733)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:11
